







date,confirmed,cured,dead
03-22-2020,1,0,0
03-23-2020,2,0,1
03-24-2020,3,0,1
03-25-2020,3,0,1
03-26-2020,3,0,1
03-27-2020,3,0,1
03-28-2020,3,0,1
03-29-2020,4,0,1
03-30-2020,4,0,1
03-31-2020,4,0,1
04-01-2020,4,2,1
04-02-2020,4,2,1
04-03-2020,4,2,1
04-04-2020,4,2,1
04-05-2020,4,2,1
04-06-2020,4,2,1
04-07-2020,4,2,1
04-08-2020,4,2,1
04-09-2020,4,2,1
04-10-2020,4,2,1
04-11-2020,9,2,1
04-12-2020,9,2,1
04-13-2020,9,2,1
04-14-2020,9,2,1
04-15-2020,9,2,1
04-16-2020,9,2,1
04-17-2020,9,2,1
04-18-2020,9,2,1
04-19-2020,10,2,1
04-20-2020,10,2,1
04-21-2020,10,2,1
04-22-2020,10,2,1
04-23-2020,10,2,1
04-24-2020,10,8,1
04-25-2020,10,8,1
04-26-2020,10,8,1
04-27-2020,10,8,1
04-28-2020,10,8,1
04-29-2020,10,8,1
04-30-2020,11,8,1
05-01-2020,12,8,1
05-02-2020,17,9,1
05-03-2020,17,9,1
05-04-2020,17,9,1
05-05-2020,17,9,1
05-05-2020,17,9,1
05-06-2020,17,9,1
05-07-2020,18,9,1
05-08-2020,20,9,1
05-09-2020,20,9,1
05-10-2020,20,9,1
05-11-2020,22,10,1
05-12-2020,22,10,1
05-12-2020,22,10,1
05-13-2020,23,10,1
05-14-2020,23,10,1
05-14-2020,23,10,1
05-15-2020,23,10,1
05-16-2020,23,12,1
05-17-2020,23,12,1
05-18-2020,24,13,1
05-19-2020,24,13,1
05-19-2020,24,13,1
05-20-2020,24,13,1
05-21-2020,24,13,1
05-22-2020,25,13,1
05-23-2020,25,13,1
05-24-2020,25,13,1
05-25-2020,25,17,1
05-26-2020,25,18,1
05-27-2020,25,19,1
05-28-2020,25,19,1
05-29-2020,25,20,1
05-30-2020,25,20,1
05-31-2020,25,20,1
06-01-2020,25,20,1
06-02-2020,25,20,1
06-03-2020,26,20,1
06-04-2020,26,20,1
06-05-2020,26,21,1
06-06-2020,26,21,1
06-06-2020,26,21,1
06-07-2020,26,21,1
06-08-2020,28,21,1
06-09-2020,28,21,1
06-10-2020,28,22,1
06-11-2020,28,22,1
06-12-2020,28,22,1
06-13-2020,28,24,1
06-14-2020,28,24,1
06-15-2020,30,24,1
06-16-2020,34,24,1
06-17-2020,34,24,1
06-18-2020,36,24,1
06-19-2020,36,24,1
06-20-2020,37,24,2
06-21-2020,37,24,2
06-22-2020,41,26,2
06-23-2020,42,26,2
06-24-2020,42,26,2
06-25-2020,43,26,2
06-26-2020,43,26,2
06-27-2020,44,26,2
06-28-2020,45,26,2
06-29-2020,47,26,2
06-30-2020,49,27,2
07-01-2020,49,27,2
07-02-2020,55,27,2
07-03-2020,55,27,2
07-04-2020,57,27,2
07-05-2020,57,27,2
07-06-2020,61,27,3
07-07-2020,61,27,3
07-08-2020,61,27,3
07-09-2020,63,32,3
07-10-2020,64,34,3
07-11-2020,64,34,3
07-12-2020,64,34,3
07-13-2020,64,34,3
07-14-2020,64,34,3
07-15-2020,64,34,3
07-16-2020,78,34,3
07-17-2020,78,34,3
07-18-2020,93,49,4
07-18-2020,93,49,4
07-18-2020,93,49,4
07-19-2020,93,49,4
07-20-2020,112,57,4
07-21-2020,112,57,4
07-22-2020,146,57,5
07-23-2020,170,58,5
07-24-2020,216,60,6
07-25-2020,277,60,6
07-26-2020,277,60,6
07-27-2020,326,66,8
07-28-2020,326,66,8
07-28-2020,326,66,8
07-29-2020,326,66,8
07-30-2020,403,66,8
07-31-2020,498,68,9
08-01-2020,498,68,9
08-02-2020,498,68,9
08-03-2020,498,68,9
08-04-2020,671,79,14
08-05-2020,799,115,16
08-06-2020,935,136,16
08-07-2020,1090,146,19
08-08-2020,1090,146,19
08-09-2020,1235,221,23
08-10-2020,1235,221,23
08-11-2020,1346,227,32
08-12-2020,1477,247,33
08-13-2020,1556,267,43
08-14-2020,1623,304,50
08-15-2020,1689,347,54
08-16-2020,1872,401,63
08-17-2020,1872,401,63
08-18-2020,2116,415,63
08-19-2020,2288,435,77
08-20-2020,2401,435,81
08-21-2020,2437,455,84
08-22-2020,2437,455,84
08-23-2020,2685,490,87
08-24-2020,2585,490,87
08-25-2020,2686,601,90
08-26-2020,2708,611,93
08-27-2020,2743,638,93
08-28-2020,2797,743,96
08-29-2020,2895,751,96
08-30-2020,2963,1032,96
08-31-2020,2963,1032,96
09-01-2020,3029,1032,96
09-02-2020,3067,1032,97
09-03-2020,3101,1075,99
09-04-2020,3120,1295,99
09-05-2020,3150,1315,99
09-06-2020,3197,1315,99
09-07-2020,3197,1315,99
09-08-2020,3275,1424,99
09-09-2020,3293,1460,99
09-10-2020,3330,1460,100
09-11-2020,3362,1582,100
09-12-2020,3376,1617,102
09-13-2020,3405,1723,103
09-14-2020,3405,1723,103
09-15-2020,3428,1737,105
09-16-2020,3440,1851,107
09-17-2020,3473,1951,107
09-18-2020,3485,1973,108
09-19-2020,3504,1992,108
09-20-2020,3526,1992,108
09-21-2020,3526,1992,108
09-22-2020,3540,2002,110
09-23-2020,3542,2011,110
09-24-2020,3552,2012,110
09-25-2020,3555,2034,110
09-26-2020,3555,2034,110
09-27-2020,3569,2161,111
09-28-2020,3569,2161,111
09-29-2020,3579,2161,112
09-30-2020,3579,2161,112
10-01-2020,3584,2216,113
