







date,confirmed,cured,dead
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,4,0,0
03-19-2020,6,0,0
03-20-2020,6,0,0
03-21-2020,6,0,0
03-22-2020,6,0,0
03-23-2020,9,0,0
03-24-2020,9,0,0
03-25-2020,9,0,0
03-26-2020,12,0,0
03-27-2020,12,0,0
03-28-2020,12,0,0
03-29-2020,12,0,0
03-30-2020,12,0,0
03-31-2020,12,1,0
04-01-2020,15,1,0
04-02-2020,15,1,0
04-03-2020,16,1,0
04-04-2020,16,1,0
04-05-2020,16,1,0
04-06-2020,16,3,0
04-07-2020,16,3,0
04-08-2020,18,3,0
04-09-2020,18,3,0
04-10-2020,18,3,0
04-11-2020,18,3,0
04-12-2020,21,3,0
04-13-2020,21,4,0
04-14-2020,41,4,0
04-15-2020,51,4,0
04-16-2020,51,4,0
04-17-2020,79,4,0
04-18-2020,79,4,0
04-19-2020,79,4,0
04-20-2020,79,7,0
04-21-2020,83,7,0
04-22-2020,84,7,1
04-23-2020,84,7,1
04-24-2020,214,7,1
04-25-2020,258,7,1
04-26-2020,258,8,1
04-27-2020,258,9,1
04-28-2020,315,9,1
04-29-2020,315,9,1
04-30-2020,315,9,1
05-01-2020,315,9,1
05-02-2020,315,9,1
05-03-2020,315,9,1
05-04-2020,315,13,3
05-05-2020,315,13,3
05-05-2020,315,13,3
05-06-2020,439,13,4
05-07-2020,439,13,4
05-08-2020,439,13,4
05-09-2020,439,13,4
05-10-2020,439,13,4
05-11-2020,439,13,4
05-12-2020,439,13,4
05-12-2020,439,13,4
05-13-2020,522,13,6
05-14-2020,583,13,7
05-14-2020,583,13,7
05-15-2020,594,22,7
05-16-2020,594,22,7
05-17-2020,594,22,7
05-18-2020,719,22,7
05-19-2020,825,22,7
05-19-2020,825,22,7
05-20-2020,890,22,7
05-21-2020,903,22,10
05-22-2020,960,165,11
05-23-2020,960,165,11
05-24-2020,960,165,11
05-25-2020,1043,165,12
05-26-2020,1043,165,12
05-27-2020,1043,165,12
05-28-2020,1043,165,12
05-29-2020,1306,200,12
05-30-2020,1306,200,12
05-31-2020,1306,200,12
06-01-2020,1306,200,12
06-02-2020,1306,200,12
06-03-2020,1306,200,12
06-04-2020,1306,200,12
06-05-2020,1306,200,12
06-06-2020,1306,200,12
06-06-2020,1306,200,12
06-07-2020,1306,200,12
06-08-2020,1306,200,12
06-09-2020,1306,200,12
06-10-2020,1306,200,12
06-11-2020,1306,200,12
06-12-2020,1306,200,12
06-13-2020,1306,200,12
06-14-2020,1306,200,12
06-15-2020,1306,200,12
06-16-2020,1664,515,32
06-17-2020,1664,515,32
06-18-2020,1664,515,32
06-19-2020,1664,515,32
06-20-2020,1664,515,32
06-21-2020,1664,515,32
06-22-2020,1664,515,32
06-23-2020,1664,515,32
06-24-2020,1664,515,32
06-25-2020,2001,515,32
06-26-2020,2001,515,32
06-27-2020,2001,515,32
06-28-2020,2001,515,32
06-29-2020,2001,515,32
06-30-2020,2001,515,32
07-01-2020,2001,515,32
07-02-2020,3071,842,51
07-03-2020,3071,842,51
07-04-2020,3071,842,51
07-05-2020,3071,842,51
07-06-2020,3071,842,51
07-07-2020,3071,842,51
07-08-2020,3071,842,51
07-09-2020,3071,842,51
07-10-2020,3071,842,51
07-11-2020,3071,842,51
07-12-2020,3071,842,51
07-13-2020,3071,842,51
07-14-2020,3071,842,51
07-15-2020,3071,842,51
07-16-2020,3071,842,51
07-17-2020,3071,842,51
07-18-2020,3071,842,51
07-18-2020,3071,842,51
07-18-2020,3071,842,51
07-19-2020,3071,842,51
07-20-2020,3071,842,51
07-21-2020,3071,842,51
07-22-2020,3071,842,51
07-23-2020,3071,842,51
07-24-2020,3071,842,51
07-25-2020,3071,842,51
07-26-2020,3071,842,51
07-27-2020,3071,842,51
07-28-2020,3071,842,51
07-28-2020,3071,842,51
07-29-2020,3071,842,51
07-30-2020,3071,842,51
07-31-2020,4821,2182,83
08-01-2020,4821,2182,83
08-02-2020,4821,2182,83
08-03-2020,4821,2182,83
08-04-2020,4821,2182,83
08-05-2020,4821,2182,83
08-06-2020,4821,2182,83
08-07-2020,4821,2182,83
08-08-2020,4821,2182,83
08-09-2020,4821,2182,83
08-10-2020,4821,2182,83
08-11-2020,4821,2182,83
08-12-2020,4821,2182,83
08-13-2020,4821,2182,83
08-14-2020,4821,2182,83
08-15-2020,4821,2182,83
08-16-2020,4821,2182,83
08-17-2020,4821,2182,83
08-18-2020,4821,2182,83
08-19-2020,4892,2713,83
08-20-2020,4892,2713,83
08-21-2020,4926,2713,83
08-22-2020,4926,3795,83
08-23-2020,4926,3795,83
08-24-2020,4926,3795,83
08-25-2020,4926,3795,83
08-26-2020,4928,3798,83
08-27-2020,4928,3798,83
08-28-2020,4941,3884,83
08-29-2020,4941,3884,83
08-30-2020,4941,3884,83
08-31-2020,4941,3884,83
09-01-2020,4965,3884,83
09-02-2020,4965,4390,83
09-03-2020,4965,4390,83
09-04-2020,4972,4413,83
09-05-2020,4972,4413,83
09-06-2020,4972,4413,83
09-07-2020,4985,4454,83
09-08-2020,4985,4454,83
09-09-2020,4990,4479,83
09-10-2020,4990,4479,83
09-11-2020,4996,4490,83
09-12-2020,4996,4490,83
09-13-2020,4996,4490,83
09-14-2020,5000,4496,83
09-15-2020,5000,4496,83
09-16-2020,5000,4496,83
09-17-2020,5002,4509,83
09-18-2020,5002,4509,83
09-19-2020,5002,4509,83
09-20-2020,5002,4509,83
09-21-2020,5002,4509,83
09-22-2020,5018,4509,83
09-23-2020,5018,4509,83
09-24-2020,5018,4530,83
09-25-2020,5018,4530,83
09-26-2020,5028,4740,83
09-27-2020,5028,4740,83
09-28-2020,5028,4740,83
09-29-2020,5030,4769,83
09-30-2020,5030,4769,83
10-01-2020,5045,4879,83
10-02-2020,5045,4879,83
10-03-2020,5045,4879,83
10-04-2020,5045,4879,83
10-05-2020,5045,4879,83
10-06-2020,5052,4894,83
10-07-2020,5052,4894,83
10-08-2020,5062,4894,83
10-09-2020,5063,4894,83
10-10-2020,5063,4894,83
10-11-2020,5063,4894,83
10-12-2020,5066,4954,83
10-13-2020,5066,4954,83
10-14-2020,5068,4954,83
10-15-2020,5068,4954,83
10-16-2020,5068,4954,83
10-17-2020,5070,4954,83
10-18-2020,5070,4954,83
10-19-2020,5070,4954,83
10-20-2020,5074,4954,83
10-21-2020,5074,4954,83
10-22-2020,5074,4961,83
10-23-2020,5074,4961,83
10-24-2020,5079,4962,83
10-25-2020,5079,4962,83
10-26-2020,5079,4962,83
10-27-2020,5083,4964,83
10-28-2020,5083,4964,83
10-29-2020,5083,4964,83
