







date,confirmed,cured,dead
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,5,0,0
03-17-2020,5,0,0
03-18-2020,6,0,0
03-19-2020,6,0,0
03-20-2020,9,0,0
03-21-2020,9,0,0
03-22-2020,11,0,0
03-23-2020,11,0,0
03-24-2020,12,0,0
03-25-2020,12,0,0
03-26-2020,12,0,0
03-27-2020,16,0,0
03-28-2020,16,1,0
03-29-2020,21,1,0
03-30-2020,23,4,0
03-31-2020,26,2,0
04-01-2020,29,2,0
04-02-2020,29,3,0
04-03-2020,35,3,0
04-04-2020,38,4,0
04-05-2020,43,4,2
04-06-2020,44,4,2
04-07-2020,52,4,2
04-08-2020,55,4,2
04-09-2020,56,4,2
04-10-2020,65,4,3
04-11-2020,69,10,3
04-12-2020,71,10,3
04-13-2020,74,14,3
04-14-2020,82,14,3
04-15-2020,85,15,3
04-16-2020,92,15,3
04-17-2020,96,15,3
04-18-2020,105,16,3
04-19-2020,108,16,3
04-20-2020,111,16,3
04-21-2020,114,16,3
04-22-2020,116,21,3
04-23-2020,116,21,3
04-24-2020,117,25,3
04-25-2020,122,29,3
04-26-2020,123,41,3
04-27-2020,124,50,3
04-28-2020,126,50,3
04-29-2020,130,58,3
04-30-2020,131,59,3
05-01-2020,133,66,3
05-02-2020,133,69,3
05-03-2020,135,75,3
05-04-2020,140,75,3
05-05-2020,145,91,4
05-05-2020,145,91,4
05-06-2020,162,93,4
05-07-2020,191,93,4
05-08-2020,194,95,4
05-09-2020,210,97,5
05-10-2020,239,99,5
05-11-2020,250,105,5
05-12-2020,261,106,5
05-12-2020,261,106,5
05-13-2020,263,108,5
05-14-2020,272,108,5
05-14-2020,272,108,5
05-15-2020,287,112,5
05-16-2020,306,113,5
05-17-2020,317,113,5
05-18-2020,352,116,5
05-19-2020,365,120,5
05-19-2020,365,120,5
05-20-2020,389,122,5
05-21-2020,399,123,5
05-22-2020,433,128,5
05-23-2020,494,151,5
05-24-2020,582,152,5
05-25-2020,655,159,5
05-26-2020,701,167,6
05-27-2020,731,181,6
05-28-2020,831,191,7
05-29-2020,968,197,8
05-30-2020,1063,208,8
05-31-2020,1172,209,11
06-01-2020,1257,217,12
06-02-2020,1344,231,14
06-03-2020,1486,246,17
06-04-2020,1636,250,18
06-05-2020,1805,262,19
06-06-2020,1934,281,20
06-06-2020,1934,281,20
06-07-2020,2020,344,27
06-08-2020,2156,361,27
06-09-2020,2336,379,32
06-10-2020,2506,401,35
06-11-2020,2670,434,40
06-12-2020,2915,451,47
06-13-2020,3166,495,55
06-14-2020,3345,545,57
06-15-2020,3521,620,60
06-16-2020,3630,738,61
06-17-2020,3759,849,63
06-18-2020,3954,934,65
06-19-2020,4070,1029,72
06-20-2020,4469,1122,72
06-21-2020,4532,1213,74
06-22-2020,4663,1297,75
06-23-2020,4848,1412,75
06-24-2020,5034,1486,78
06-25-2020,5175,1544,81
06-26-2020,5425,1688,89
06-27-2020,5570,2015,94
06-28-2020,5689,2132,98
06-29-2020,5846,2430,103
06-30-2020,5846,2430,103
07-01-2020,5846,2430,103
07-02-2020,5846,2430,103
07-03-2020,5846,2430,103
07-04-2020,5846,2430,103
07-05-2020,5846,2430,103
07-06-2020,5846,2430,103
07-07-2020,5846,2430,103
07-08-2020,6774,2430,120
07-09-2020,6973,2430,120
07-10-2020,7120,2430,124
07-11-2020,7402,2430,124
07-12-2020,7560,2430,127
07-13-2020,7766,2430,128
07-14-2020,7969,2430,139
07-15-2020,8181,2430,146
07-16-2020,8475,2430,148
07-17-2020,8803,2430,150
07-18-2020,9147,2430,163
07-18-2020,9147,2430,163
07-18-2020,9147,2430,163
07-19-2020,9503,2430,167
07-20-2020,10207,2430,170
07-21-2020,11072,5448,180
07-22-2020,11524,5506,188
07-23-2020,11933,5645,197
07-24-2020,12693,5785,200
07-25-2020,13248,5966,209
07-26-2020,13968,6216,223
07-27-2020,14547,6386,228
07-28-2020,15200,6526,239
07-28-2020,15200,6526,239
07-29-2020,15810,6685,253
07-30-2020,16615,6763,263
07-31-2020,17530,6950,274
08-01-2020,17999,7195,284
08-02-2020,18706,7601,310
08-03-2020,19289,7931,336
08-04-2020,19877,8240,343
08-05-2020,20336,8598,356
08-06-2020,20900,9027,365
08-07-2020,21452,9415,380
08-08-2020,22253,9707,390
08-09-2020,22818,10206,407
08-10-2020,23591,10411,420
08-11-2020,24175,10696,440
08-12-2020,25118,11034,463
08-13-2020,26204,11428,479
08-14-2020,27242,11660,492
08-15-2020,28894,12037,509
08-16-2020,29876,12359,528
08-17-2020,31336,12524,544
08-18-2020,32722,12938,572
08-19-2020,34058,13308,600
08-20-2020,35836,13536,620
08-21-2020,37665,13913,637
08-22-2020,39033,14480,662
08-23-2020,40671,14995,678
08-24-2020,42143,15262,692
08-25-2020,43688,15796,709
08-26-2020,45221,16311,725
08-27-2020,46407,16829,745
08-28-2020,48140,17415,758
08-29-2020,49654,18116,770
08-30-2020,51122,18382,793
08-31-2020,52131,18994,809
09-01-2020,53304,19487,828
09-02-2020,54409,19903,846
09-03-2020,55213,20283,856
09-04-2020,56516,20612,880
09-05-2020,57466,20776,897
09-06-2020,58672,21307,918
09-07-2020,59648,21789,933
09-08-2020,60784,22677,949
09-09-2020,61700,23054,966
09-10-2020,62578,23640,974
09-11-2020,63367,24024,986
09-12-2020,63888,24493,996
09-13-2020,64301,24983,1013
09-14-2020,64786,25333,1022
09-15-2020,65486,25988,1035
09-16-2020,66224,26665,1045
09-17-2020,66913,27085,1060
09-18-2020,67515,27638,1072
09-19-2020,68131,27939,1089
09-20-2020,68820,28314,1096
09-21-2020,69709,28634,1108
09-22-2020,70422,28991,1127
09-23-2020,71083,29253,1141
09-24-2020,71687,29461,1148
09-25-2020,72173,29863,1155
09-26-2020,72700,30029,1165
09-27-2020,73332,30363,1170
09-28-2020,73944,30753,1177
09-29-2020,74584,30952,1191
09-30-2020,75368,31204,1198
10-01-2020,76098,31430,1205
10-02-2020,76988,31677,1208
10-03-2020,77860,32325,1214
10-04-2020,78819,33060,1222
10-05-2020,79437,34016,1230
10-06-2020,80003,34960,1238
10-07-2020,80895,35670,1255
10-08-2020,81797,36434,1262
10-09-2020,82662,37102,1271
10-10-2020,83429,37683,1277
10-11-2020,84295,38316,1287
10-12-2020,85136,38904,1301
10-13-2020,85718,39307,1305
10-14-2020,86430,40165,1312
10-15-2020,87169,40988,1325
10-16-2020,87834,41628,1337
10-17-2020,88434,42099,1346
10-18-2020,89137,42649,1352
10-19-2020,89860,43149,1365
10-20-2020,90490,43638,1371
10-21-2020,91118,44506,1384
10-22-2020,91693,45260,1396
10-23-2020,92229,46118,1400
10-24-2020,92858,46842,1419
10-25-2020,93343,47543,1426
10-26-2020,93707,48150,1437
10-27-2020,94218,48968,1445
10-28-2020,94820,49886,1451
10-29-2020,95301,50753,1457
10-30-2020,95789,51713,1464
10-31-2020,96169,52517,1469
11-01-2020,96583,53452,1478
11-02-2020,96942,54405,1489
11-03-2020,97502,55254,1494
11-04-2020,97881,56156,1503
11-05-2020,98391,57114,1508
11-06-2020,98746,58103,1512
11-07-2020,99201,58948,1518
11-08-2020,99675,59766,1523
11-09-2020,99982,60710,1530
11-10-2020,100327,61516,1537
11-11-2020,100727,62497,1545
11-12-2020,101248,63268,1554
11-13-2020,101757,63571,1558
11-14-2020,102321,63675,1565
11-15-2020,102720,63866,1569
11-16-2020,103056,64130,1581
11-17-2020,103395,64293,1588
11-18-2020,103928,64593,1601
11-19-2020,104427,64983,1607
11-20-2020,104879,65325,1620
11-21-2020,105352,65534,1636
11-22-2020,105785,65691,1647
11-23-2020,106203,65839,1651
