







date,confirmed,cured,dead
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,4,0,0
03-24-2020,4,0,0
03-25-2020,4,0,0
03-26-2020,4,0,0
03-27-2020,8,0,0
03-28-2020,8,0,0
03-29-2020,16,0,0
03-30-2020,22,0,0
03-31-2020,22,0,0
04-01-2020,30,0,0
04-02-2020,52,0,0
04-03-2020,73,2,0
04-04-2020,111,5,0
04-05-2020,121,5,0
04-06-2020,128,5,0
04-07-2020,144,5,0
04-08-2020,164,5,0
04-09-2020,194,11,0
04-10-2020,212,15,0
04-11-2020,250,17,0
04-12-2020,250,17,0
04-13-2020,319,17,0
04-14-2020,363,31,0
04-15-2020,404,31,1
04-16-2020,438,49,1
04-17-2020,477,59,3
04-18-2020,518,65,3
04-19-2020,579,87,5
04-20-2020,622,122,5
04-21-2020,688,127,6
04-22-2020,761,164,6
04-23-2020,862,170,6
04-24-2020,954,191,6
04-25-2020,996,208,7
04-26-2020,996,208,7
04-27-2020,1163,246,7
04-28-2020,1240,269,7
04-29-2020,1351,313,7
04-30-2020,1495,329,7
05-01-2020,1537,342,7
05-02-2020,1586,405,7
05-03-2020,1586,405,7
05-04-2020,1710,450,9
05-05-2020,1811,498,10
05-05-2020,1811,498,10
05-06-2020,1856,597,11
05-07-2020,1927,629,11
05-08-2020,2009,663,11
05-09-2020,2042,698,11
05-10-2020,2146,714,11
05-11-2020,2146,714,11
05-12-2020,2298,816,11
05-12-2020,2298,816,11
05-13-2020,2374,856,14
05-14-2020,2473,895,15
05-14-2020,2473,895,15
05-15-2020,2473,895,15
05-16-2020,2658,1133,16
05-17-2020,2658,1133,16
05-18-2020,2796,1263,16
05-19-2020,2863,1525,18
05-19-2020,2863,1525,18
05-20-2020,2863,1525,18
05-21-2020,3067,1575,18
05-22-2020,3067,1575,19
05-23-2020,3176,1631,20
05-24-2020,3275,1673,20
05-25-2020,3275,1673,20
05-26-2020,3275,1673,20
05-27-2020,3275,1673,20
05-28-2020,3553,1950,22
05-29-2020,3656,2000,22
05-30-2020,3706,2030,23
05-31-2020,3706,2030,23
06-01-2020,3844,2135,23
06-02-2020,3886,2267,23
06-03-2020,3933,2332,23
06-04-2020,3991,2512,23
06-05-2020,4060,2667,23
06-06-2020,4117,2857,23
06-06-2020,4117,2857,23
06-07-2020,4117,2877,23
06-08-2020,4216,2918,23
06-09-2020,4258,2942,23
06-10-2020,4258,2942,23
06-11-2020,4372,3033,23
06-12-2020,4426,3106,24
06-13-2020,4484,3213,25
06-14-2020,4532,3234,25
06-15-2020,4572,3259,26
06-16-2020,4639,3327,26
06-17-2020,4668,3364,26
06-18-2020,4841,3467,26
06-19-2020,4904,3522,27
06-20-2020,4960,3630,27
06-21-2020,4988,3669,27
06-22-2020,4988,3669,27
06-23-2020,5040,3685,28
06-24-2020,5174,3861,29
06-25-2020,5174,3861,29
06-26-2020,5260,4155,29
06-27-2020,5291,4215,30
06-28-2020,5342,4282,31
06-29-2020,5351,4296,31
06-30-2020,5391,4326,33
07-01-2020,5404,4346,33
07-02-2020,5450,4392,33
07-03-2020,5521,4446,33
07-04-2020,5570,4496,34
07-05-2020,5610,4522,34
07-06-2020,5610,4522,34
07-07-2020,5636,4542,34
07-08-2020,5697,4577,34
07-09-2020,5881,4672,36
07-10-2020,5969,4732,37
07-11-2020,6044,4802,37
07-12-2020,6141,4862,37
07-13-2020,6141,4862,37
07-14-2020,6200,4951,38
07-15-2020,6276,4981,38
07-16-2020,6359,5012,39
07-17-2020,6430,5233,39
07-18-2020,6491,5257,39
07-18-2020,6491,5257,39
07-18-2020,6491,5257,39
07-19-2020,6544,5511,39
07-20-2020,6590,5591,40
07-21-2020,6652,5771,41
07-22-2020,6747,5891,41
07-23-2020,6806,5999,42
07-24-2020,6867,6063,42
07-25-2020,6927,6098,42
07-26-2020,7008,6152,43
07-27-2020,7055,6257,45
07-28-2020,7126,6312,46
07-28-2020,7126,6312,46
07-29-2020,7183,6404,46
07-30-2020,7242,6438,46
07-31-2020,7308,6458,46
08-01-2020,7308,6458,46
08-02-2020,7317,6480,46
08-03-2020,7364,6505,46
08-04-2020,7489,6591,48
08-05-2020,7575,6632,49
08-06-2020,7664,6757,49
08-07-2020,7777,6800,50
08-08-2020,7875,6828,50
08-09-2020,7930,6898,50
08-10-2020,7930,6898,50
08-11-2020,8018,7020,50
08-12-2020,8116,7060,50
08-13-2020,8198,7120,50
08-14-2020,8260,7177,50
08-15-2020,8343,7210,50
08-16-2020,8482,7364,51
08-17-2020,8620,7472,51
08-18-2020,8715,7532,52
08-19-2020,8792,7574,53
08-20-2020,8876,7628,53
08-21-2020,8932,7648,53
08-22-2020,8932,7648,53
08-23-2020,8967,7708,53
08-24-2020,9076,7928,55
08-25-2020,9128,8040,57
08-26-2020,9167,8150,57
08-27-2020,9213,8180,58
08-28-2020,9251,8282,59
08-29-2020,9251,8282,59
08-30-2020,9371,8387,59
08-31-2020,9409,8447,59
09-01-2020,9479,8527,59
09-02-2020,9479,8527,59
09-03-2020,9579,8726,61
09-04-2020,9649,8832,61
09-05-2020,9649,8832,61
09-06-2020,9798,8928,61
09-07-2020,9816,8956,62
09-08-2020,9848,9009,63
09-09-2020,9885,9068,63
09-10-2020,9946,9100,63
09-11-2020,9979,9189,63
09-12-2020,10020,9251,63
09-13-2020,10045,9292,63
09-14-2020,10061,9352,63
09-15-2020,10111,9444,63
09-16-2020,10154,9612,63
09-17-2020,10154,9612,63
09-18-2020,10231,9660,63
09-19-2020,10286,9681,63
09-20-2020,10325,9692,64
09-21-2020,10344,9757,65
09-22-2020,10387,9780,65
09-23-2020,10434,9801,65
09-24-2020,10434,9801,65
09-25-2020,10478,9816,65
09-26-2020,10512,9836,65
09-27-2020,10580,9892,66
09-28-2020,10598,9940,66
09-29-2020,10634,9960,66
09-30-2020,10652,9996,66
10-01-2020,10652,9996,66
10-02-2020,10735,10066,66
10-03-2020,10735,10066,66
10-04-2020,10754,10098,66
10-05-2020,10800,10161,67
10-06-2020,10863,10176,68
10-07-2020,10863,10176,68
10-08-2020,10901,10232,68
10-09-2020,10954,10265,68
10-10-2020,10996,10304,69
10-11-2020,11022,10324,69
10-12-2020,11062,10337,70
10-13-2020,11134,10347,70
10-14-2020,11188,10352,70
10-15-2020,11255,10360,70
10-16-2020,11362,10420,70
10-17-2020,11478,10425,70
10-18-2020,11518,10427,70
10-19-2020,11518,10427,70
10-20-2020,11538,10447,70
10-21-2020,11599,10461,70
10-22-2020,11635,10474,71
10-23-2020,11635,10474,71
10-24-2020,11635,10474,71
10-25-2020,11635,10474,71
10-26-2020,11635,10474,71
10-27-2020,11819,10505,71
10-28-2020,11819,10505,71
10-29-2020,12020,10550,71
10-30-2020,12072,10550,72
10-31-2020,12072,10550,72
11-01-2020,12195,10589,73
11-02-2020,12213,10600,73
11-03-2020,12213,10600,73
