







date,confirmed,cured,dead
03-18-2020,3,0,0
03-19-2020,3,0,0
03-20-2020,6,0,0
03-21-2020,14,0,0
03-22-2020,14,0,0
03-23-2020,16,0,0
03-24-2020,42,0,0
03-25-2020,44,0,0
03-26-2020,44,0,0
03-27-2020,58,0,0
03-28-2020,58,0,0
03-29-2020,84,0,0
03-30-2020,94,3,0
03-31-2020,107,3,0
04-01-2020,111,3,0
04-02-2020,116,5,0
04-03-2020,130,6,1
04-04-2020,144,9,1
04-05-2020,147,9,1
04-06-2020,216,33,4
04-07-2020,228,33,4
04-08-2020,270,33,4
04-09-2020,280,35,4
04-10-2020,298,35,5
04-11-2020,339,44,5
04-12-2020,377,54,5
04-13-2020,419,67,5
04-14-2020,430,71,5
04-15-2020,449,78,5
04-16-2020,466,91,5
04-17-2020,489,114,5
04-18-2020,506,130,5
04-19-2020,554,133,5
04-20-2020,568,201,7
04-21-2020,590,216,7
04-22-2020,612,254,7
04-23-2020,631,302,8
04-24-2020,665,345,8
04-25-2020,665,345,8
04-26-2020,682,370,8
04-27-2020,695,395,8
04-28-2020,708,416,8
04-29-2020,729,437,8
04-30-2020,746,462,8
05-01-2020,756,504,8
05-02-2020,769,527,8
05-03-2020,795,564,10
05-04-2020,830,575,10
05-05-2020,843,600,11
05-05-2020,843,600,11
05-06-2020,871,614,12
05-07-2020,895,637,12
05-08-2020,906,650,12
05-09-2020,931,658,12
05-10-2020,1002,675,12
05-11-2020,1016,688,12
05-12-2020,1037,709,12
05-12-2020,1037,709,12
05-13-2020,1044,726,12
05-14-2020,1082,735,12
05-14-2020,1082,735,12
05-15-2020,1111,745,14
05-16-2020,1117,783,14
05-17-2020,1138,804,14
05-18-2020,1216,827,14
05-19-2020,1243,898,14
05-19-2020,1243,898,14
05-20-2020,1270,910,14
05-21-2020,1313,923,14
05-22-2020,1350,939,14
05-23-2020,1365,957,14
05-24-2020,1403,980,14
05-25-2020,1433,992,16
05-26-2020,1468,1015,16
05-27-2020,1520,1043,16
05-28-2020,1594,1066,16
05-29-2020,1662,1088,16
05-30-2020,1722,1113,16
05-31-2020,1748,1170,16
06-01-2020,1817,1181,16
06-02-2020,1845,1219,17
06-03-2020,1871,1265,20
06-04-2020,1899,1292,20
06-05-2020,1936,1340,22
06-06-2020,1974,1360,22
06-06-2020,1974,1360,22
06-07-2020,2007,1425,22
06-08-2020,2032,1445,23
06-09-2020,2055,1483,24
06-10-2020,2093,1572,26
06-11-2020,2166,1668,26
06-12-2020,2166,1668,26
06-13-2020,2207,1722,27
06-14-2020,2285,1791,27
06-15-2020,2472,1847,28
06-16-2020,2562,1902,30
06-17-2020,2657,1933,31
06-18-2020,2657,1933,31
06-19-2020,2789,1961,32
06-20-2020,2981,1981,35
06-21-2020,3356,2021,40
06-22-2020,3356,2021,40
06-23-2020,3726,2082,42
06-24-2020,3954,2112,43
06-25-2020,4204,2162,43
06-26-2020,4446,2194,46
06-27-2020,4513,2212,46
06-28-2020,5017,2294,50
06-29-2020,5296,2370,57
06-30-2020,5506,2443,61
07-01-2020,6261,2530,66
07-02-2020,6767,2655,76
07-03-2020,6878,2671,76
07-04-2020,7094,2714,78
07-05-2020,7377,2802,88
07-06-2020,8141,2916,99
07-07-2020,8279,2967,107
07-08-2020,8847,3053,116
07-09-2020,9358,3134,122
07-10-2020,9910,3236,125
07-11-2020,10410,3253,129
07-12-2020,11117,3460,147
07-13-2020,11444,3538,149
07-14-2020,11444,3538,149
07-15-2020,12282,3712,165
07-16-2020,12498,3735,167
07-17-2020,13101,3821,173
07-18-2020,24606,10704,900
07-18-2020,24606,10704,900
07-18-2020,24606,10704,900
07-19-2020,27143,13109,1037
07-20-2020,27143,13109,1037
07-21-2020,28251,14776,1079
07-22-2020,30349,16791,1169
07-23-2020,31247,18038,1211
07-24-2020,31247,18038,1211
07-25-2020,32124,19203,1249
07-26-2020,32813,20388,1277
07-27-2020,33296,21205,1301
07-28-2020,33844,22296,1329
07-28-2020,33844,22296,1329
07-29-2020,34592,22296,1347
07-30-2020,35223,23985,1364
07-31-2020,35805,25037,1378
08-01-2020,36299,26419,1397
08-02-2020,36719,27274,1409
08-03-2020,37129,27927,1420
08-04-2020,37541,28743,1427
08-05-2020,38110,29513,1438
08-06-2020,38659,30099,1447
08-07-2020,39162,30764,1451
08-08-2020,39571,31062,1459
08-09-2020,39919,31822,1468
08-10-2020,40085,32126,1474
08-11-2020,40455,32734,1478
08-12-2020,40759,32997,1484
08-13-2020,41069,33288,1487
08-14-2020,41373,33592,1491
08-15-2020,41645,33951,1493
08-16-2020,41856,34276,1495
08-17-2020,41991,34537,1496
08-18-2020,42146,34855,1498
08-19-2020,42325,35197,1498
08-20-2020,42507,35486,1498
08-21-2020,42703,35831,1055
08-22-2020,42889,36056,1055
08-23-2020,43023,36397,1056
08-24-2020,43126,36615,1057
08-25-2020,43245,36925,1057
08-26-2020,43358,37217,1057
08-27-2020,43459,37492,1057
08-28-2020,43587,37726,1057
08-29-2020,43712,37973,1057
08-30-2020,43820,38198,1058
08-31-2020,43898,38459,1058
09-01-2020,43958,38649,1059
09-02-2020,44036,38895,1059
09-03-2020,44135,39174,1059
09-04-2020,44199,39389,1060
09-05-2020,44293,39599,1060
09-06-2020,44403,39826,1060
09-07-2020,44458,39960,1060
09-08-2020,44487,40092,1060
09-09-2020,44613,40336,1061
09-10-2020,44684,40487,1061
09-11-2020,44761,40631,1063
09-12-2020,44828,40779,1063
09-13-2020,44881,40922,1063
09-14-2020,44928,41023,1063
09-15-2020,44999,41103,1063
09-16-2020,45072,41210,1063
09-17-2020,45153,41317,1063
09-18-2020,45244,41415,1063
09-19-2020,45335,41484,1063
09-20-2020,45335,41484,1063
09-21-2020,45471,41682,1063
09-22-2020,45542,41796,1063
09-23-2020,45630,41904,1063
09-24-2020,45757,42005,1063
09-25-2020,45932,42147,1063
09-26-2020,46090,42302,1063
09-27-2020,46251,42453,1063
09-28-2020,46355,42613,1064
09-29-2020,46522,42761,1064
09-30-2020,46669,42879,1064
10-01-2020,46841,42983,1065
10-02-2020,47056,43137,1065
10-03-2020,47184,43278,1066
10-04-2020,47428,43418,1066
10-05-2020,47635,43521,1066
10-06-2020,47799,43644,1066
10-07-2020,48097,43798,1069
10-08-2020,48342,43957,1073
10-09-2020,48617,44097,1077
10-10-2020,48924,44227,1082
10-11-2020,49230,44227,1085
10-12-2020,49528,44522,1090
10-13-2020,49871,44712,1092
10-14-2020,50201,44884,1094
10-15-2020,50589,45080,1099
10-16-2020,51020,45288,1103
10-17-2020,51490,45509,1108
10-18-2020,52044,45736,1111
10-19-2020,52526,45863,1111
10-20-2020,52910,46139,1113
10-21-2020,53459,46444,1118
10-22-2020,54006,46726,1122
10-23-2020,54588,47050,1126
10-24-2020,55144,47337,1130
10-25-2020,55750,47616,1134
10-26-2020,56170,47843,1134
10-27-2020,56738,48223,1136
10-28-2020,57276,48637,1138
10-29-2020,57798,49097,1139
10-30-2020,58394,49522,1142
10-31-2020,58878,49983,1144
11-01-2020,58878,49983,1144
11-02-2020,59879,50741,1155
11-03-2020,60774,51815,1163
11-04-2020,61309,52343,1167
