







date,confirmed,cured,dead
03-11-2020,1,0,0
03-12-2020,1,0,0
03-13-2020,1,0,0
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,5,1,0
03-18-2020,6,1,0
03-19-2020,9,1,0
03-20-2020,9,1,0
03-21-2020,14,1,0
03-22-2020,14,1,0
03-23-2020,25,2,0
03-24-2020,73,2,0
03-25-2020,80,3,0
03-26-2020,96,3,0
03-27-2020,101,3,0
03-28-2020,101,3,0
03-29-2020,165,4,1
03-30-2020,168,6,1
03-31-2020,179,7,1
04-01-2020,190,9,1
04-02-2020,194,15,1
04-03-2020,218,19,1
04-04-2020,245,25,1
04-05-2020,261,37,3
04-06-2020,323,41,3
04-07-2020,349,41,3
04-08-2020,384,48,3
04-09-2020,444,52,3
04-10-2020,444,52,3
04-11-2020,533,58,4
04-12-2020,574,85,5
04-13-2020,626,89,6
04-14-2020,638,114,6
04-15-2020,638,114,6
04-16-2020,654,146,6
04-17-2020,688,193,6
04-18-2020,801,239,8
04-19-2020,847,260,9
04-20-2020,847,260,9
04-21-2020,916,303,13
04-22-2020,952,310,14
04-23-2020,1004,359,14
04-24-2020,1077,419,14
04-25-2020,1077,419,14
04-26-2020,1150,468,14
04-27-2020,1164,499,14
04-28-2020,1183,525,14
04-29-2020,1238,557,14
04-30-2020,1275,574,14
05-01-2020,1333,597,15
05-02-2020,1362,622,15
05-03-2020,1398,653,17
05-04-2020,1432,693,17
05-05-2020,1464,701,18
05-05-2020,1464,701,18
05-06-2020,1516,721,18
05-07-2020,1571,742,20
05-08-2020,1602,754,20
05-09-2020,1667,769,21
05-10-2020,1700,794,21
05-11-2020,1730,818,21
05-12-2020,1857,820,21
05-12-2020,1857,820,21
05-13-2020,1912,902,24
05-14-2020,1971,930,24
05-14-2020,1971,930,24
05-15-2020,2017,942,24
05-16-2020,2061,987,25
05-17-2020,2109,1004,27
05-18-2020,2119,1040,28
05-19-2020,2153,1050,28
05-19-2020,2153,1050,28
05-20-2020,2231,1083,29
05-21-2020,2301,1100,29
05-22-2020,2341,1146,29
05-23-2020,2366,1188,30
05-24-2020,2376,1219,30
05-25-2020,2423,1257,30
05-26-2020,2477,1286,30
05-27-2020,2556,1302,31
05-28-2020,2641,1326,32
05-29-2020,2750,1370,32
05-30-2020,2799,1385,33
05-31-2020,2833,1435,33
06-01-2020,2951,1467,33
06-02-2020,3024,1501,33
06-03-2020,3110,1530,35
06-04-2020,3262,1584,35
06-05-2020,3431,1604,36
06-06-2020,3557,1750,36
06-06-2020,3557,1750,36
06-07-2020,3739,1818,36
06-08-2020,3881,1869,38
06-09-2020,3995,2045,38
06-10-2020,4181,2174,41
06-11-2020,4404,2212,41
06-12-2020,4684,2263,45
06-13-2020,4848,2397,45
06-14-2020,5084,2505,45
06-15-2020,5439,2590,46
06-16-2020,5679,2637,46
