







date,confirmed,cured,dead
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,2,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,7,0,1
03-26-2020,10,0,1
03-27-2020,10,0,1
03-28-2020,10,0,1
03-29-2020,18,0,1
03-30-2020,27,0,3
03-31-2020,27,0,3
04-01-2020,74,0,5
04-02-2020,98,0,5
04-03-2020,120,0,5
04-04-2020,144,0,8
04-05-2020,184,13,10
04-06-2020,253,26,10
04-07-2020,278,26,11
04-08-2020,342,28,11
04-09-2020,410,40,11
04-10-2020,438,41,11
04-11-2020,491,41,11
04-12-2020,529,75,12
04-13-2020,529,75,12
04-14-2020,570,90,14
04-15-2020,584,90,14
04-16-2020,584,90,14
04-17-2020,627,110,18
04-18-2020,639,113,19
04-19-2020,648,117,20
04-20-2020,648,117,20
04-21-2020,657,127,20
04-22-2020,662,193,22
04-23-2020,671,256,24
04-24-2020,681,289,24
04-25-2020,684,325,27
04-26-2020,696,350,29
04-27-2020,701,385,29
04-28-2020,709,403,31
04-29-2020,713,435,32
04-30-2020,719,452,32
05-01-2020,728,478,33
05-02-2020,736,507,35
05-03-2020,750,518,36
05-04-2020,755,534,37
05-05-2020,763,543,38
05-05-2020,763,543,38
05-06-2020,770,561,38
05-07-2020,781,586,42
05-08-2020,795,600,44
05-09-2020,815,617,45
05-10-2020,821,624,46
05-11-2020,832,637,46
05-12-2020,854,648,47
05-12-2020,854,648,47
05-13-2020,860,658,49
05-14-2020,876,677,50
05-14-2020,876,677,50
05-15-2020,885,684,51
05-16-2020,889,689,51
05-17-2020,904,698,54
05-18-2020,909,714,55
05-19-2020,914,734,55
05-19-2020,914,734,55
05-20-2020,920,738,58
05-21-2020,924,753,60
05-22-2020,937,764,60
05-23-2020,943,775,61
05-24-2020,945,783,61
05-25-2020,951,786,62
05-26-2020,952,796,63
05-27-2020,952,796,63
05-28-2020,955,803,64
05-29-2020,955,813,64
05-30-2020,956,818,64
05-31-2020,958,839,64
06-01-2020,958,844,65
06-02-2020,960,848,65
06-03-2020,961,857,65
06-04-2020,963,860,65
06-05-2020,966,863,65
06-06-2020,970,867,65
06-06-2020,970,867,65
06-07-2020,973,867,65
06-08-2020,973,869,65
06-09-2020,974,871,65
06-10-2020,974,876,65
06-11-2020,974,878,65
06-12-2020,978,881,65
06-13-2020,980,881,66
06-14-2020,980,885,66
06-15-2020,980,885,66
06-16-2020,1016,885,66
06-17-2020,1020,893,67
06-18-2020,1020,901,67
06-19-2020,1020,901,67
06-20-2020,1035,911,67
06-21-2020,1036,911,67
06-22-2020,1046,913,67
06-23-2020,1051,913,67
06-24-2020,1051,913,67
