







date,confirmed,cured,dead
03-15-2020,2,0,0
03-16-2020,2,0,0
03-17-2020,2,0,0
03-18-2020,2,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,2,0,0
03-26-2020,71,0,1
03-27-2020,86,1,1
03-28-2020,91,1,1
03-29-2020,94,1,1
03-30-2020,94,1,1
03-31-2020,112,6,1
04-01-2020,125,10,1
04-02-2020,125,10,1
04-03-2020,126,10,1
04-04-2020,135,16,1
04-05-2020,145,23,1
04-06-2020,145,23,1
04-07-2020,170,24,4
04-08-2020,184,30,5
04-09-2020,184,30,5
04-10-2020,250,52,7
04-11-2020,283,58,7
04-12-2020,283,58,7
04-13-2020,283,58,7
04-14-2020,387,66,8
04-15-2020,387,66,8
04-16-2020,449,79,11
04-17-2020,480,84,12
04-18-2020,510,93,12
04-19-2020,510,93,12
04-20-2020,510,93,12
04-21-2020,510,93,12
04-22-2020,510,93,12
04-23-2020,510,93,12
04-24-2020,510,93,12
04-25-2020,510,93,12
04-26-2020,510,93,12
04-27-2020,510,93,12
04-28-2020,510,93,12
04-29-2020,510,93,12
04-30-2020,799,249,22
05-01-2020,806,271,22
05-02-2020,823,336,22
05-03-2020,851,381,22
05-04-2020,855,403,26
05-05-2020,856,490,26
05-05-2020,856,490,26
05-06-2020,856,490,26
05-07-2020,861,562,27
05-08-2020,861,562,27
05-09-2020,862,622,28
05-10-2020,870,653,28
05-11-2020,884,655,28
05-12-2020,919,671,29
05-12-2020,919,671,29
05-13-2020,919,671,29
05-14-2020,944,690,29
05-14-2020,944,690,29
05-15-2020,944,690,29
05-16-2020,944,690,29
05-17-2020,955,691,29
05-18-2020,955,691,29
05-19-2020,989,769,29
05-19-2020,989,769,29
05-20-2020,989,769,29
05-21-2020,1003,772,29
05-22-2020,1004,772,29
05-23-2020,1025,782,29
05-24-2020,1032,785,29
05-25-2020,1038,791,30
05-26-2020,1038,791,30
05-27-2020,1047,794,30
05-28-2020,1048,801,30
05-29-2020,1048,801,30
05-30-2020,1064,829,30
05-31-2020,1064,829,30
06-01-2020,1064,829,30
06-02-2020,1064,829,30
06-03-2020,1142,871,30
06-04-2020,1142,871,30
06-05-2020,1142,871,30
06-06-2020,1142,871,30
06-06-2020,1142,871,30
06-07-2020,1142,871,30
06-08-2020,1263,912,31
06-09-2020,1263,912,31
06-10-2020,1298,913,31
06-11-2020,1326,921,31
06-12-2020,1326,921,31
06-13-2020,1437,928,32
06-14-2020,1437,928,32
06-15-2020,1486,953,33
06-16-2020,1486,953,33
06-17-2020,1486,953,33
06-18-2020,1486,953,33
06-19-2020,1486,953,33
06-20-2020,1486,953,33
06-21-2020,1486,953,33
06-22-2020,2169,1047,37
06-23-2020,2169,1047,37
06-24-2020,2169,1047,37
06-25-2020,2169,1047,37
06-26-2020,2169,1047,37
06-27-2020,2169,1047,37
06-28-2020,2169,1047,37
06-29-2020,2677,1425,49
06-30-2020,2878,1577,51
07-01-2020,2991,1644,54
07-02-2020,3064,1707,55
07-03-2020,3064,1707,55
07-04-2020,3064,1707,55
07-05-2020,3356,1874,66
07-06-2020,3508,1902,75
07-07-2020,3703,1946,79
07-08-2020,3886,2003,82
07-09-2020,4100,2063,86
07-10-2020,4307,2095,94
07-11-2020,4715,2227,101
07-12-2020,4931,2267,102
07-13-2020,5118,2370,108
07-14-2020,5118,2370,108
07-15-2020,5237,2462,112
07-16-2020,5237,2462,112
07-17-2020,5472,2640,124
07-18-2020,5617,2811,130
07-18-2020,5617,2811,130
07-18-2020,5617,2811,130
07-19-2020,5735,2968,135
07-20-2020,5877,3069,139
07-21-2020,5877,3069,139
07-22-2020,6286,3369,150
07-23-2020,6467,3505,158
07-24-2020,6680,3614,164
07-25-2020,6917,3753,169
07-26-2020,6917,3753,169
07-27-2020,7413,4027,185
07-28-2020,7652,4129,192
07-28-2020,7652,4129,192
07-29-2020,7846,4267,196
07-30-2020,8104,4463,212
07-31-2020,8104,4463,212
08-01-2020,8104,4463,212
08-02-2020,8799,4863,249
08-03-2020,9049,4989,256
08-04-2020,9274,5190,296
08-05-2020,9274,5190,296
08-06-2020,9688,5480,300
08-07-2020,9869,5480,303
08-08-2020,9869,5480,303
08-09-2020,9869,5480,303
08-10-2020,10419,6058,341
08-11-2020,10419,6058,341
08-12-2020,10419,6058,341
08-13-2020,10795,6411,365
08-14-2020,11130,6817,381
08-15-2020,11275,6961,390
08-16-2020,11275,6961,390
08-17-2020,11275,6961,390
08-18-2020,11545,7343,390
08-19-2020,11545,7343,390
08-20-2020,11545,7343,390
08-21-2020,12168,8149,448
08-22-2020,12168,8149,448
08-23-2020,12448,8505,467
08-24-2020,12448,8505,467
08-25-2020,12683,8788,488
08-26-2020,12683,8788,488
08-27-2020,12683,8788,488
08-28-2020,12683,8788,488
08-29-2020,12683,8788,488
08-30-2020,12683,8788,488
08-31-2020,12683,8788,488
09-01-2020,12683,8788,488
09-02-2020,12683,8788,488
09-03-2020,12683,8788,488
09-04-2020,12683,8788,488
09-05-2020,12683,8788,488
09-06-2020,12683,8788,488
09-07-2020,12683,8788,488
09-08-2020,12683,8788,488
09-09-2020,12683,8788,488
09-10-2020,12683,8788,488
09-11-2020,12683,8788,488
09-12-2020,12683,8788,488
09-13-2020,12683,8788,488
09-14-2020,12683,8788,488
09-15-2020,12683,8788,488
09-16-2020,12683,8788,488
09-17-2020,12683,8788,488
09-18-2020,12683,8788,488
09-19-2020,12683,8788,488
09-20-2020,12683,8788,488
09-21-2020,12683,8788,488
09-22-2020,12683,8788,488
09-23-2020,12683,8788,488
09-24-2020,12683,8788,488
09-25-2020,12683,8788,488
09-26-2020,12683,8788,488
09-27-2020,12683,8788,488
09-28-2020,12683,8788,488
09-29-2020,12683,8788,488
09-30-2020,12683,8788,488
10-01-2020,12683,8788,488
10-02-2020,12683,8788,488
10-03-2020,12683,8788,488
10-04-2020,12683,8788,488
10-05-2020,12683,8788,488
10-06-2020,12683,8788,488
10-07-2020,15938,14143,638
10-08-2020,15938,14143,638
10-09-2020,15971,14189,638
10-10-2020,16130,14282,645
10-11-2020,16179,14335,647
10-12-2020,16247,14368,648
10-13-2020,16345,14405,649
10-14-2020,16425,14455,650
10-15-2020,16502,14514,650
10-16-2020,16606,14556,652
10-17-2020,16606,14556,652
10-18-2020,16891,14661,653
10-19-2020,17009,14711,656
10-20-2020,17009,14711,656
10-21-2020,17263,14831,657
10-22-2020,17263,14831,657
10-23-2020,17263,14831,657
10-24-2020,17263,14831,657
10-25-2020,17263,14831,657
10-26-2020,17943,15083,663
