







date,confirmed,cured,dead
03-13-2020,1,0,1
03-14-2020,1,0,1
03-15-2020,1,0,1
03-16-2020,1,0,1
03-17-2020,1,0,1
03-18-2020,2,0,1
03-19-2020,2,0,1
03-20-2020,2,0,1
03-21-2020,2,0,1
03-22-2020,2,0,1
03-23-2020,2,0,1
03-24-2020,3,0,1
03-25-2020,3,0,1
03-26-2020,3,0,1
03-27-2020,3,0,1
03-28-2020,5,0,1
03-29-2020,6,0,1
03-30-2020,6,0,2
03-31-2020,7,1,2
04-01-2020,7,2,2
04-02-2020,8,2,2
04-03-2020,10,2,2
04-04-2020,10,2,2
04-05-2020,12,2,2
04-06-2020,12,2,2
04-07-2020,14,2,2
04-08-2020,14,2,2
04-09-2020,15,2,2
04-10-2020,17,2,2
04-11-2020,19,2,2
04-12-2020,19,2,2
04-13-2020,29,4,4
04-14-2020,32,4,5
04-15-2020,32,4,5
04-16-2020,32,4,5
04-17-2020,33,4,6
04-18-2020,66,6,10
04-19-2020,66,6,10
04-20-2020,107,8,12
04-21-2020,107,8,12
04-22-2020,140,12,13
04-23-2020,174,14,16
04-24-2020,174,14,16
04-25-2020,213,19,17
04-26-2020,237,20,21
04-27-2020,275,21,22
04-28-2020,318,31,25
04-29-2020,375,32,28
04-30-2020,442,39,31
05-01-2020,533,46,36
05-02-2020,592,52,41
05-03-2020,592,52,41
05-04-2020,678,61,41
05-05-2020,778,70,45
05-05-2020,778,70,45
05-06-2020,852,80,49
05-07-2020,930,92,52
05-08-2020,1111,102,59
05-09-2020,1164,119,64
05-10-2020,1365,149,70
05-11-2020,1526,162,74
05-12-2020,1661,173,80
05-12-2020,1661,173,80
05-13-2020,1818,198,90
05-14-2020,1818,198,90
05-14-2020,1818,198,90
05-15-2020,1964,205,91
05-16-2020,2289,222,97
05-17-2020,2289,222,97
05-18-2020,2591,247,105
05-19-2020,2728,286,111
05-19-2020,2728,286,111
05-20-2020,2728,286,111
05-21-2020,3138,309,121
05-22-2020,3378,372,137
05-23-2020,3628,424,146
05-24-2020,3820,458,165
05-25-2020,3976,503,170
05-26-2020,3976,503,170
05-27-2020,4346,749,195
05-28-2020,4346,749,195
05-29-2020,4521,816,233
05-30-2020,4800,1272,262
05-31-2020,5026,1423,286
06-01-2020,5173,1522,298
06-02-2020,5310,1625,307
06-03-2020,5499,1711,314
06-04-2020,5714,1825,333
06-05-2020,5865,1924,347
06-06-2020,6081,2014,359
06-06-2020,6081,2014,359
06-07-2020,6081,2014,359
06-08-2020,6242,2059,372
06-09-2020,6427,2127,389
06-10-2020,6582,2202,401
06-11-2020,6730,2278,413
06-12-2020,6879,2416,433
06-13-2020,7007,2556,447
06-14-2020,7220,2610,459
06-15-2020,7435,2720,468
06-16-2020,7740,2820,477
06-17-2020,8020,2966,487
06-18-2020,8020,2966,487
06-19-2020,8316,3086,506
06-20-2020,8580,3325,521
06-21-2020,8580,3325,521
06-22-2020,8698,3460,533
06-23-2020,8889,3699,548
06-24-2020,8889,3699,548
06-25-2020,8984,3806,556
06-26-2020,9257,4014,572
06-27-2020,9257,4014,572
06-28-2020,9257,4014,572
06-29-2020,9257,4014,572
06-30-2020,9257,4014,572
07-01-2020,9573,4606,602
07-02-2020,9573,4606,602
07-03-2020,9663,4624,604
07-04-2020,9767,4673,608
07-05-2020,9767,4673,608
07-06-2020,9894,4899,616
07-07-2020,9997,5034,622
07-08-2020,10084,5074,636
07-09-2020,10158,5200,641
07-10-2020,10204,5277,649
07-11-2020,10250,5341,650
07-12-2020,10250,5341,650
07-13-2020,10316,5403,657
07-14-2020,10417,5579,659
07-15-2020,10527,5601,668
07-16-2020,10527,5601,668
07-17-2020,10527,5601,668
07-18-2020,10682,5637,673
07-18-2020,10682,5637,673
07-18-2020,10682,5637,673
07-19-2020,10992,5707,693
07-20-2020,10992,5707,693
07-21-2020,10992,5707,693
07-22-2020,11237,5835,708
07-23-2020,11237,5835,708
07-24-2020,11302,5855,715
07-25-2020,11385,5890,717
07-26-2020,11385,5890,717
07-27-2020,11424,5939,720
07-28-2020,11496,6001,725
07-28-2020,11496,6001,725
07-29-2020,11496,6001,725
07-30-2020,11496,6001,725
07-31-2020,11644,6119,746
08-01-2020,11738,6137,752
08-02-2020,11738,6137,752
08-03-2020,11738,6137,752
08-04-2020,11780,6194,763
08-05-2020,11780,6194,763
08-06-2020,11780,6194,763
08-07-2020,11894,6243,773
08-08-2020,11894,6243,773
08-09-2020,11956,6266,781
08-10-2020,11956,6266,781
08-11-2020,12033,6282,786
08-12-2020,12033,6282,786
08-13-2020,12115,6305,792
08-14-2020,12162,6325,793
08-15-2020,12211,6340,796
08-16-2020,12314,6350,798
08-17-2020,12410,6385,803
08-18-2020,12485,6398,805
08-19-2020,12546,6429,808
08-20-2020,12582,6456,812
08-21-2020,12623,6476,812
08-22-2020,12682,6492,815
08-23-2020,12836,6497,815
08-24-2020,12903,6538,818
08-25-2020,12974,6557,819
08-26-2020,12974,6557,819
08-27-2020,13045,6594,823
08-28-2020,13082,6603,823
08-29-2020,13189,6612,823
08-30-2020,13189,6612,823
08-31-2020,13189,6612,823
09-01-2020,13189,6612,823
09-02-2020,13189,6612,823
09-03-2020,13189,6612,823
09-04-2020,13189,6612,823
09-05-2020,13407,6725,832
