







date,confirmed,cured,dead
04-06-2020,4,0,0
04-07-2020,4,0,0
04-08-2020,4,0,0
04-09-2020,4,0,0
04-10-2020,4,0,0
04-11-2020,4,0,0
04-12-2020,4,0,0
04-13-2020,4,0,0
04-14-2020,4,0,0
04-15-2020,4,0,0
04-16-2020,4,0,0
04-17-2020,4,0,0
04-18-2020,4,0,0
04-19-2020,4,0,0
04-20-2020,4,0,0
04-21-2020,4,0,0
04-22-2020,4,0,0
04-23-2020,4,0,0
04-24-2020,4,0,0
04-25-2020,4,0,0
04-26-2020,4,0,0
04-27-2020,4,0,0
04-28-2020,8,4,0
04-29-2020,8,4,0
04-30-2020,14,4,0
05-01-2020,16,4,1
05-02-2020,16,4,1
05-03-2020,16,4,1
05-04-2020,23,4,3
05-05-2020,174,4,3
05-05-2020,174,4,3
05-06-2020,174,4,3
05-07-2020,187,4,4
05-08-2020,208,4,5
05-09-2020,208,4,5
05-10-2020,208,4,5
05-11-2020,208,4,5
05-12-2020,208,4,5
05-12-2020,208,4,5
05-13-2020,220,4,6
05-14-2020,235,4,7
05-14-2020,235,4,7
05-15-2020,235,4,7
05-16-2020,235,4,7
05-17-2020,235,4,7
05-18-2020,246,4,7
05-19-2020,251,4,8
05-19-2020,251,4,8
05-20-2020,251,4,8
05-21-2020,251,4,8
05-22-2020,251,4,8
05-23-2020,251,4,8
05-24-2020,251,4,8
05-25-2020,299,4,11
05-26-2020,441,68,12
05-27-2020,443,68,12
05-28-2020,458,68,12
05-29-2020,463,68,12
05-30-2020,479,68,12
05-31-2020,483,68,12
06-01-2020,484,68,12
06-02-2020,484,68,12
06-03-2020,484,68,12
06-04-2020,485,68,12
06-05-2020,499,68,12
06-06-2020,499,68,12
06-06-2020,499,68,12
06-07-2020,513,68,12
06-08-2020,513,68,12
06-09-2020,514,76,12
06-10-2020,611,135,12
06-11-2020,632,146,12
06-12-2020,639,156,12
06-13-2020,659,176,12
06-14-2020,661,177,12
06-15-2020,662,177,12
06-16-2020,671,182,12
06-17-2020,683,188,12
06-18-2020,688,191,12
06-19-2020,693,199,12
06-20-2020,698,203,12
06-21-2020,698,203,12
06-22-2020,702,203,12
06-23-2020,707,208,12
06-24-2020,710,211,13
06-25-2020,711,214,13
06-26-2020,712,219,13
06-27-2020,713,219,13
06-28-2020,713,219,13
06-29-2020,713,235,13
06-30-2020,714,236,13
07-01-2020,715,252,13
07-02-2020,717,260,13
07-03-2020,719,267,13
07-04-2020,719,267,13
07-05-2020,720,268,13
07-06-2020,721,269,13
07-07-2020,724,279,13
07-08-2020,724,283,13
07-09-2020,726,283,14
07-10-2020,727,284,14
07-11-2020,727,284,14
07-12-2020,729,286,14
07-13-2020,732,286,14
07-14-2020,732,286,14
07-15-2020,737,322,14
07-16-2020,740,325,14
07-17-2020,741,325,14
07-18-2020,743,337,14
07-18-2020,743,337,14
07-18-2020,743,337,14
07-19-2020,746,451,14
07-20-2020,746,536,14
07-21-2020,746,588,14
07-22-2020,747,601,14
07-23-2020,749,604,14
07-24-2020,860,610,14
07-25-2020,862,662,14
07-26-2020,863,696,14
07-27-2020,865,734,14
07-28-2020,867,759,14
07-28-2020,867,759,14
07-29-2020,868,766,15
07-30-2020,870,771,15
07-31-2020,871,778,15
08-01-2020,874,782,15
08-02-2020,874,787,15
08-03-2020,874,787,15
08-04-2020,875,794,15
08-05-2020,878,795,15
08-06-2020,878,797,15
08-07-2020,878,799,15
08-08-2020,878,800,15
08-09-2020,878,800,15
08-10-2020,878,800,15
08-11-2020,881,804,15
08-12-2020,882,807,15
08-13-2020,883,808,15
08-14-2020,885,809,15
08-15-2020,885,815,15
08-16-2020,885,818,15
08-17-2020,885,821,15
08-18-2020,885,821,15
08-19-2020,885,826,15
08-20-2020,888,829,15
08-21-2020,891,830,15
08-22-2020,892,831,15
08-23-2020,892,831,15
08-24-2020,892,832,15
08-25-2020,892,833,15
08-26-2020,892,842,15
08-27-2020,894,846,15
08-28-2020,895,848,15
08-29-2020,895,848,15
08-30-2020,896,851,15
08-31-2020,896,851,15
09-01-2020,896,853,15
09-02-2020,896,855,15
09-03-2020,897,857,15
09-04-2020,897,859,15
09-05-2020,898,859,15
09-06-2020,898,859,15
09-07-2020,898,859,15
09-08-2020,898,859,15
09-09-2020,898,862,15
09-10-2020,901,866,15
09-11-2020,906,866,15
09-12-2020,906,866,15
09-13-2020,906,870,15
09-14-2020,906,870,15
09-15-2020,907,871,15
09-16-2020,907,871,15
09-17-2020,907,873,15
09-18-2020,908,873,15
09-19-2020,908,876,15
09-20-2020,908,878,15
09-21-2020,908,880,15
09-22-2020,908,880,15
09-23-2020,908,880,15
09-24-2020,910,881,15
09-25-2020,911,881,15
09-26-2020,911,883,15
09-27-2020,911,883,15
09-28-2020,911,885,15
09-29-2020,911,885,15
09-30-2020,911,886,15
10-01-2020,911,886,15
10-02-2020,911,886,15
10-03-2020,913,886,15
10-04-2020,913,887,15
10-05-2020,913,888,15
10-06-2020,914,888,15
10-07-2020,914,888,15
10-08-2020,921,890,15
10-09-2020,922,890,15
10-10-2020,922,890,15
10-11-2020,929,892,15
10-12-2020,929,895,15
10-13-2020,929,895,15
10-14-2020,929,896,15
10-15-2020,929,896,15
10-16-2020,932,896,15
10-17-2020,932,896,15
10-18-2020,933,898,15
10-19-2020,933,898,15
10-20-2020,933,898,15
10-21-2020,935,898,15
10-22-2020,935,898,15
10-23-2020,938,898,15
10-24-2020,940,900,15
10-25-2020,940,902,15
10-26-2020,941,902,15
10-27-2020,941,902,15
10-28-2020,943,903,15
10-29-2020,944,904,16
10-30-2020,945,904,16
10-31-2020,945,904,16
11-01-2020,949,904,16
11-02-2020,949,904,16
11-03-2020,954,907,16
11-04-2020,958,907,16
11-05-2020,958,909,16
11-06-2020,960,910,16
11-07-2020,962,910,16
11-08-2020,962,912,16
11-09-2020,962,912,16
11-10-2020,962,914,16
11-11-2020,962,914,16
11-12-2020,963,914,16
11-13-2020,963,916,16
11-14-2020,964,917,16
11-15-2020,965,917,16
11-16-2020,965,917,16
11-17-2020,967,917,16
11-18-2020,967,920,16
11-19-2020,974,920,16
11-20-2020,974,920,17
11-21-2020,979,920,17
11-22-2020,979,923,17
11-23-2020,981,926,17
11-24-2020,981,926,17
11-25-2020,982,926,17
