







date,confirmed,cured,dead
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,2,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,3,0,0
03-24-2020,3,0,0
03-25-2020,3,0,0
03-26-2020,3,0,0
03-27-2020,3,0,0
03-28-2020,3,0,0
03-29-2020,3,0,0
03-30-2020,3,0,0
03-31-2020,3,0,0
04-01-2020,6,0,0
04-02-2020,6,0,0
04-03-2020,7,0,0
04-04-2020,10,3,1
04-05-2020,13,3,3
04-06-2020,14,3,3
04-07-2020,14,3,3
04-08-2020,31,3,4
04-09-2020,31,3,4
04-10-2020,37,3,5
04-11-2020,48,3,5
04-12-2020,50,3,5
04-13-2020,59,4,6
04-14-2020,59,4,6
04-15-2020,59,4,6
04-16-2020,59,4,6
04-17-2020,76,7,7
04-18-2020,76,7,7
04-19-2020,91,7,8
04-20-2020,99,7,8
04-21-2020,101,7,8
04-22-2020,101,20,8
04-23-2020,101,20,8
04-24-2020,117,25,8
04-25-2020,120,25,11
04-26-2020,124,25,12
04-27-2020,124,25,12
04-28-2020,141,45,16
04-29-2020,141,45,16
04-30-2020,141,45,16
05-01-2020,152,45,18
05-02-2020,154,48,18
05-03-2020,158,58,18
05-04-2020,166,58,18
05-05-2020,170,58,20
05-05-2020,170,58,20
05-06-2020,178,75,20
05-07-2020,189,79,20
05-08-2020,199,79,20
05-09-2020,199,79,20
05-10-2020,199,79,20
05-11-2020,211,85,20
05-12-2020,211,85,20
05-12-2020,211,85,20
05-13-2020,213,101,20
05-14-2020,215,105,20
05-14-2020,215,105,20
05-15-2020,219,108,20
05-16-2020,223,116,20
05-17-2020,226,120,21
05-18-2020,229,123,22
05-19-2020,233,125,23
05-19-2020,233,125,23
05-20-2020,238,128,23
05-21-2020,240,131,23
05-22-2020,249,136,24
05-23-2020,255,136,26
05-24-2020,265,139,26
05-25-2020,265,141,26
05-26-2020,266,144,26
05-27-2020,266,144,27
05-28-2020,269,144,27
05-29-2020,273,146,27
05-30-2020,280,148,27
05-31-2020,288,157,27
06-01-2020,296,159,27
06-02-2020,311,167,28
06-03-2020,316,169,28
06-04-2020,321,175,28
06-05-2020,334,176,30
06-06-2020,345,185,30
06-06-2020,345,185,30
06-07-2020,359,194,30
06-08-2020,370,195,30
06-09-2020,383,199,31
06-10-2020,397,200,31
06-11-2020,410,206,31
06-12-2020,421,210,32
06-13-2020,446,214,32
06-14-2020,458,219,32
06-15-2020,498,221,33
06-16-2020,509,222,33
06-17-2020,516,240,33
06-18-2020,542,250,33
06-19-2020,581,250,33
06-20-2020,601,254,33
06-21-2020,626,254,34
06-22-2020,650,260,34
06-23-2020,652,270,34
06-24-2020,662,270,34
06-25-2020,681,278,34
06-26-2020,684,285,34
06-27-2020,729,291,34
06-28-2020,768,298,34
06-29-2020,770,312,36
06-30-2020,780,324,36
07-01-2020,804,335,37
07-02-2020,819,338,37
07-03-2020,833,346,37
07-04-2020,869,369,37
07-05-2020,874,377,37
07-06-2020,891,377,39
07-07-2020,917,394,41
07-08-2020,926,395,41
07-09-2020,957,398,42
07-10-2020,963,400,47
07-11-2020,998,420,47
07-12-2020,1010,423,51
07-13-2020,1024,439,51
07-14-2020,1024,439,51
07-15-2020,1056,447,51
07-16-2020,1070,486,68
07-17-2020,1085,496,69
07-18-2020,1088,519,70
07-18-2020,1088,519,70
07-18-2020,1088,519,70
07-19-2020,1091,534,70
07-20-2020,1107,547,70
07-21-2020,1108,575,70
07-22-2020,1114,592,70
07-23-2020,1117,613,71
07-24-2020,1135,621,71
07-25-2020,1155,631,71
07-26-2020,1162,641,72
07-27-2020,1167,646,72
07-28-2020,1177,646,72
07-28-2020,1177,646,72
07-29-2020,1179,664,72
07-30-2020,1181,667,73
07-31-2020,1186,670,75
08-01-2020,1189,673,75
08-02-2020,1207,673,77
08-03-2020,1214,696,78
08-04-2020,1216,698,78
08-05-2020,1221,699,78
08-06-2020,1224,705,78
08-07-2020,1230,705,78
08-08-2020,1234,714,79
08-09-2020,1237,723,79
08-10-2020,1240,725,79
08-11-2020,1250,736,81
08-12-2020,1252,738,82
08-13-2020,1252,738,82
08-14-2020,1252,738,82
08-15-2020,1257,788,82
08-16-2020,1257,788,82
08-17-2020,1277,803,82
08-18-2020,1282,803,82
08-19-2020,1282,803,82
08-20-2020,1284,803,82
08-21-2020,1285,803,82
08-22-2020,1286,816,82
08-23-2020,1286,816,82
08-24-2020,1290,819,82
08-25-2020,1295,821,82
08-26-2020,1298,832,82
08-27-2020,1298,832,82
08-28-2020,1298,832,82
08-29-2020,1304,872,82
08-30-2020,1304,872,82
08-31-2020,1304,872,82
09-01-2020,1305,1158,82
09-02-2020,1305,1162,82
09-03-2020,1306,1163,82
09-04-2020,1306,1163,82
09-05-2020,1306,1163,82
09-06-2020,1307,1182,82
09-07-2020,1311,1190,82
09-08-2020,1311,1194,82
09-09-2020,1313,1194,82
09-10-2020,1315,1194,82
09-11-2020,1315,1199,82
09-12-2020,1316,1210,82
09-13-2020,1319,1210,82
09-14-2020,1321,1213,82
09-15-2020,1327,1214,82
09-16-2020,1332,1214,82
09-17-2020,1333,1214,82
09-18-2020,1334,1214,82
09-19-2020,1335,1216,82
09-20-2020,1335,1216,82
09-21-2020,1336,1218,82
09-22-2020,1336,1218,82
09-23-2020,1337,1219,82
09-24-2020,1338,1221,82
09-25-2020,1338,1221,82
09-26-2020,1338,1221,82
09-27-2020,1339,1221,82
09-28-2020,1342,1221,82
09-29-2020,1343,1221,82
09-30-2020,1343,1221,82
10-01-2020,1343,1221,82
10-02-2020,1346,1221,82
10-03-2020,1347,1221,82
10-04-2020,1348,1236,82
10-05-2020,1354,1236,82
10-06-2020,1354,1240,82
10-07-2020,1355,1245,82
10-08-2020,1360,1245,82
10-09-2020,1360,1245,82
10-10-2020,1363,1245,82
10-11-2020,1363,1245,82
10-12-2020,1371,1250,82
10-13-2020,1371,1251,82
10-14-2020,1372,1254,82
10-15-2020,1374,1254,82
10-16-2020,1377,1264,82
10-17-2020,1377,1268,82
10-18-2020,1377,1268,82
10-19-2020,1381,1271,82
10-20-2020,1384,1273,82
10-21-2020,1385,1276,82
10-22-2020,1385,1278,82
10-23-2020,1393,1278,82
10-24-2020,1393,1278,82
10-25-2020,1393,1278,82
10-26-2020,1416,1278,82
10-27-2020,1419,1278,82
10-28-2020,1419,1278,82
10-29-2020,1426,1279,82
10-30-2020,1426,1279,82
10-31-2020,1426,1279,82
11-01-2020,1426,1279,82
11-02-2020,1436,1283,82
11-03-2020,1436,1294,82
11-04-2020,1438,1301,82
11-05-2020,1440,1305,82
11-06-2020,1442,1310,82
11-07-2020,1442,1310,82
11-08-2020,1442,1310,82
11-09-2020,1452,1310,82
11-10-2020,1461,1310,82
11-11-2020,1461,1311,82
11-12-2020,1468,1312,82
11-13-2020,1491,1314,82
11-14-2020,1498,1314,82
11-15-2020,1507,1314,82
11-16-2020,1512,1318,82
11-17-2020,1512,1318,82
11-18-2020,1528,1328,82
