







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,2,0,0
03-20-2020,2,0,0
03-21-2020,2,0,0
03-22-2020,2,0,0
03-23-2020,2,0,0
03-24-2020,2,0,0
03-25-2020,2,0,0
03-26-2020,3,0,0
03-27-2020,3,0,0
03-28-2020,5,0,0
03-29-2020,5,2,0
03-30-2020,5,2,1
03-31-2020,6,2,1
04-01-2020,6,2,1
04-02-2020,6,2,1
04-03-2020,6,2,1
04-04-2020,6,2,1
04-05-2020,6,2,1
04-06-2020,6,2,1
04-07-2020,6,2,1
04-08-2020,6,2,1
04-09-2020,7,2,1
04-10-2020,7,2,1
04-11-2020,7,2,1
04-12-2020,7,2,1
04-13-2020,7,2,1
04-14-2020,7,2,1
04-15-2020,7,2,1
04-16-2020,7,2,1
04-17-2020,7,2,1
04-18-2020,7,2,1
04-19-2020,7,6,1
04-20-2020,7,6,1
04-21-2020,7,6,1
04-22-2020,7,6,1
04-23-2020,7,6,1
04-24-2020,7,6,1
04-25-2020,7,6,1
04-26-2020,7,6,1
04-27-2020,7,6,1
04-28-2020,7,6,1
04-29-2020,8,6,1
04-30-2020,8,6,1
05-01-2020,8,6,1
05-02-2020,8,6,1
05-03-2020,8,6,1
05-04-2020,8,6,1
05-05-2020,8,6,1
05-05-2020,8,6,1
05-06-2020,8,6,1
05-07-2020,8,6,1
05-08-2020,8,6,1
05-09-2020,8,6,1
05-10-2020,8,6,1
05-11-2020,8,6,1
05-12-2020,9,6,1
05-12-2020,9,6,1
05-13-2020,15,6,2
05-14-2020,20,7,2
05-14-2020,20,7,2
05-15-2020,29,7,3
05-16-2020,40,7,4
05-17-2020,62,7,4
05-18-2020,81,7,4
05-19-2020,131,7,4
05-19-2020,131,7,4
05-20-2020,141,7,4
05-21-2020,173,7,5
05-22-2020,200,7,6
05-23-2020,227,7,6
05-24-2020,237,15,6
05-25-2020,262,15,9
05-26-2020,268,15,13
05-27-2020,292,15,16
05-28-2020,346,15,19
05-29-2020,423,21,20
05-30-2020,483,21,20
05-31-2020,530,27,23
06-01-2020,588,27,23
06-02-2020,668,55,31
06-03-2020,745,57,34
06-04-2020,784,65,39
06-05-2020,883,69,43
06-06-2020,947,104,49
06-06-2020,947,104,49
06-07-2020,1049,108,55
06-08-2020,1104,119,59
06-09-2020,1162,139,61
06-10-2020,1283,142,71
06-11-2020,1439,250,74
06-12-2020,1572,278,81
06-13-2020,1682,311,83
06-14-2020,1783,332,87
06-15-2020,1887,360,91
06-16-2020,2057,373,93
06-17-2020,2223,427,95
06-18-2020,2424,550,97
06-19-2020,2621,653,102
06-20-2020,2813,696,108
06-21-2020,2984,811,111
06-22-2020,3121,905,112
06-23-2020,3292,963,114
06-24-2020,3519,1074,116
06-25-2020,3739,1225,119
06-26-2020,3907,1280,120
06-27-2020,4025,1344,121
06-28-2020,4149,1419,126
06-29-2020,4237,1497,128
06-30-2020,4363,1622,129
07-01-2020,4472,1677,129
07-02-2020,4606,1727,129
07-03-2020,4705,1765,129
07-04-2020,4827,1805,129
07-05-2020,4879,1844,130
07-06-2020,4948,1896,133
07-07-2020,5024,1944,135
07-08-2020,5087,1994,139
07-09-2020,5126,2026,144
07-10-2020,5203,2111,146
07-11-2020,5275,2160,147
07-12-2020,5355,2363,147
07-13-2020,5446,2501,147
07-14-2020,5518,2664,147
07-15-2020,5564,2830,149
07-16-2020,5659,2993,150
07-17-2020,5710,3153,151
07-18-2020,5813,3279,153
07-18-2020,5813,3279,153
07-18-2020,5813,3279,153
07-19-2020,5873,3436,155
07-20-2020,5923,3632,155
07-21-2020,5985,3826,155
07-22-2020,6027,3977,155
07-23-2020,6067,4086,156
07-24-2020,6116,4206,156
07-25-2020,6151,4299,156
07-26-2020,6171,4430,156
07-27-2020,6208,4653,156
07-28-2020,6249,4683,156
07-28-2020,6249,4683,156
07-29-2020,6273,4776,156
07-30-2020,6295,4889,157
07-31-2020,6310,4962,157
08-01-2020,6319,5043,157
08-02-2020,6323,5115,157
08-03-2020,6382,5174,157
08-04-2020,6418,5209,157
08-05-2020,6444,5291,157
08-06-2020,6444,5291,157
08-07-2020,6498,5443,157
08-08-2020,6510,5527,157
08-09-2020,6523,5527,157
08-10-2020,6555,5570,157
08-11-2020,6598,5704,157
08-12-2020,6622,5741,157
08-13-2020,6653,5843,157
08-14-2020,6676,5889,157
08-15-2020,6693,5928,157
08-16-2020,6701,5985,157
08-17-2020,6762,6018,157
08-18-2020,6789,6051,157
08-19-2020,6829,6094,158
08-20-2020,6848,6123,158
08-21-2020,6885,6186,158
08-22-2020,6894,6203,158
08-23-2020,6905,6232,158
08-24-2020,6928,6282,158
08-25-2020,6960,6321,158
08-26-2020,6977,6356,158
08-27-2020,6993,6381,158
08-28-2020,7012,6407,158
08-29-2020,7012,6407,158
08-30-2020,7016,6430,159
08-31-2020,7048,6464,159
