







date,confirmed,cured,dead
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,3,0,0
03-22-2020,3,0,0
03-23-2020,3,0,0
03-24-2020,5,0,0
03-25-2020,9,0,0
03-26-2020,13,0,0
03-27-2020,13,0,0
03-28-2020,19,0,0
03-29-2020,24,0,0
03-30-2020,30,0,0
03-31-2020,32,0,1
04-01-2020,32,0,1
04-02-2020,41,0,2
04-03-2020,46,0,2
04-04-2020,56,2,3
04-05-2020,62,2,3
04-06-2020,69,5,4
04-07-2020,78,5,4
04-08-2020,93,9,5
04-09-2020,103,14,6
04-10-2020,117,15,6
04-11-2020,118,19,6
04-12-2020,125,21,6
04-13-2020,137,22,6
04-14-2020,149,25,6
04-15-2020,159,30,6
04-16-2020,164,33,6
04-17-2020,177,38,7
04-18-2020,190,43,7
04-19-2020,201,44,7
04-20-2020,218,46,7
04-21-2020,225,48,7
04-22-2020,237,63,7
04-23-2020,250,67,8
04-24-2020,274,75,8
04-25-2020,274,75,8
04-26-2020,298,83,8
04-27-2020,323,89,8
04-28-2020,345,97,8
04-29-2020,377,106,9
04-30-2020,395,119,10
05-01-2020,424,124,10
05-02-2020,446,141,11
05-03-2020,490,154,11
05-04-2020,555,180,13
05-05-2020,587,205,14
05-05-2020,587,205,14
05-06-2020,633,219,15
05-07-2020,695,252,15
05-08-2020,742,257,16
05-09-2020,784,276,17
05-10-2020,889,293,17
05-11-2020,958,325,18
05-12-2020,998,349,20
05-12-2020,998,349,20
05-13-2020,1037,374,20
05-14-2020,1112,405,23
05-14-2020,1112,405,23
05-15-2020,1210,417,25
05-16-2020,1265,441,26
05-17-2020,1338,464,30
05-18-2020,1413,474,30
05-19-2020,1498,502,30
05-19-2020,1498,502,30
05-20-2020,1571,537,31
05-21-2020,1640,544,33
05-22-2020,1725,570,33
05-23-2020,1819,570,33
05-24-2020,1915,633,35
05-25-2020,1983,772,35
05-26-2020,2042,787,36
05-27-2020,2109,891,39
05-28-2020,2194,1002,39
05-29-2020,2278,1015,42
