







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,4,0,0
03-21-2020,4,0,0
03-22-2020,5,0,0
03-23-2020,5,0,0
03-24-2020,7,0,0
03-25-2020,8,0,0
03-26-2020,8,0,0
03-27-2020,8,0,0
03-28-2020,8,0,0
03-29-2020,8,0,0
03-30-2020,8,0,0
03-31-2020,9,0,0
04-01-2020,10,0,0
04-02-2020,10,0,0
04-03-2020,10,0,1
04-04-2020,10,0,1
04-05-2020,10,0,1
04-06-2020,10,0,1
04-07-2020,10,0,1
04-08-2020,10,3,1
04-09-2020,10,4,1
04-10-2020,10,4,1
04-11-2020,10,4,1
04-12-2020,10,4,1
04-13-2020,10,6,1
04-14-2020,10,6,1
04-15-2020,10,6,1
04-16-2020,10,6,1
04-17-2020,10,6,1
04-18-2020,10,6,1
04-19-2020,10,6,1
04-20-2020,10,6,1
04-21-2020,10,6,1
04-22-2020,10,6,1
04-23-2020,10,6,1
04-24-2020,10,7,1
04-25-2020,10,7,1
04-26-2020,10,7,1
04-27-2020,10,7,1
04-28-2020,10,7,1
04-29-2020,10,8,1
04-30-2020,10,8,1
05-01-2020,10,8,1
05-02-2020,10,8,1
05-03-2020,10,9,1
05-04-2020,10,9,1
05-05-2020,10,9,1
05-05-2020,10,9,1
05-06-2020,10,9,1
05-07-2020,10,9,1
05-08-2020,10,9,1
05-09-2020,10,9,1
05-10-2020,10,9,1
05-11-2020,10,9,1
05-12-2020,10,9,1
05-12-2020,10,9,1
05-13-2020,10,9,1
05-14-2020,10,9,1
05-14-2020,10,9,1
05-15-2020,10,9,1
05-16-2020,10,9,1
05-17-2020,10,9,1
05-18-2020,11,9,1
05-19-2020,11,9,1
05-19-2020,11,9,1
05-20-2020,11,9,1
05-21-2020,11,9,1
05-22-2020,11,9,1
05-23-2020,11,9,1
05-24-2020,11,9,1
05-25-2020,11,9,1
05-26-2020,11,9,1
05-27-2020,12,9,1
05-28-2020,12,9,1
05-29-2020,12,9,1
05-30-2020,14,9,1
05-31-2020,23,9,1
06-01-2020,44,9,1
06-02-2020,54,9,1
06-03-2020,74,9,1
06-04-2020,82,9,1
06-05-2020,90,9,1
06-06-2020,100,9,1
06-06-2020,100,9,1
06-07-2020,122,9,1
06-08-2020,128,9,2
06-09-2020,137,9,2
06-10-2020,144,9,2
06-11-2020,168,9,2
06-12-2020,187,9,3
06-13-2020,196,9,3
06-14-2020,208,9,3
06-15-2020,229,48,5
06-16-2020,236,48,6
06-17-2020,261,48,6
06-18-2020,277,74,7
06-19-2020,293,74,8
06-20-2020,303,74,8
06-21-2020,314,106,8
06-22-2020,319,132,8
06-23-2020,319,132,9
06-24-2020,357,154,10
06-25-2020,373,176,10
06-26-2020,389,181,10
06-27-2020,467,191,11
06-28-2020,490,199,11
06-29-2020,501,217,13
06-30-2020,515,227,13
07-01-2020,535,242,13
07-02-2020,547,252,13
07-03-2020,561,267,13
07-04-2020,565,276,14
07-05-2020,594,292,14
07-06-2020,614,315,14
07-07-2020,634,405,15
07-08-2020,665,434,17
07-09-2020,694,456,17
07-10-2020,726,481,18
07-11-2020,741,495,18
07-12-2020,741,495,18
07-13-2020,780,526,18
07-14-2020,801,543,18
07-15-2020,837,573,18
07-16-2020,904,581,18
07-17-2020,943,600,19
07-18-2020,1001,610,20
07-18-2020,1001,610,20
07-18-2020,1001,610,20
07-19-2020,1029,627,21
07-20-2020,1079,656,21
07-21-2020,1131,705,21
07-22-2020,1176,739,21
07-23-2020,1234,774,23
07-24-2020,1305,804,23
07-25-2020,1381,853,23
07-26-2020,1439,890,23
07-27-2020,1483,925,24
07-28-2020,1510,965,24
07-28-2020,1510,965,24
07-29-2020,1607,1003,26
07-30-2020,1607,1003,26
07-31-2020,1650,1080,26
08-01-2020,1760,1161,26
08-02-2020,1849,1194,27
08-03-2020,1893,1227,27
08-04-2020,1981,1278,27
08-05-2020,2050,1327,27
08-06-2020,2096,1446,29
08-07-2020,2203,1505,29
08-08-2020,2306,1558,29
08-09-2020,2391,1635,29
08-10-2020,2489,1674,30
08-11-2020,2559,1712,39
08-12-2020,2653,1789,39
08-13-2020,2761,1830,40
08-14-2020,2838,1894,41
08-15-2020,2961,1990,42
08-16-2020,3016,2036,47
08-17-2020,3077,2138,48
08-18-2020,3216,2196,54
08-19-2020,3295,2227,54
08-20-2020,3366,2383,55
08-21-2020,3460,2498,56
08-22-2020,3569,2559,57
08-23-2020,3607,2688,58
08-24-2020,3632,2758,60
08-25-2020,3698,2818,61
08-26-2020,3724,2863,62
08-27-2020,3793,2893,66
08-28-2020,3848,2971,66
08-29-2020,3954,2991,67
08-30-2020,4009,3073,67
08-31-2020,4034,3140,71
09-01-2020,4089,3171,72
09-02-2020,4149,3272,72
09-03-2020,4215,3318,73
09-04-2020,4252,3366,75
09-05-2020,4320,3426,76
09-06-2020,4346,3494,85
