







date,confirmed,cured,dead
03-22-2020,1,0,0
03-23-2020,1,0,0
03-24-2020,1,0,0
03-25-2020,5,0,0
03-26-2020,5,0,0
03-27-2020,5,0,0
03-28-2020,5,0,0
03-29-2020,9,0,1
03-30-2020,10,0,2
03-31-2020,10,0,2
04-01-2020,10,0,2
04-02-2020,16,0,2
04-03-2020,16,0,2
04-04-2020,16,2,2
04-05-2020,19,2,2
04-06-2020,19,2,2
04-07-2020,19,3,2
04-08-2020,19,4,2
04-09-2020,19,4,2
04-10-2020,19,4,2
04-11-2020,25,5,2
04-12-2020,25,5,2
04-13-2020,25,5,2
04-14-2020,29,5,2
04-15-2020,33,5,2
04-16-2020,33,5,2
04-17-2020,38,5,2
04-18-2020,38,5,2
04-19-2020,39,5,3
04-20-2020,39,5,3
04-21-2020,42,6,3
04-22-2020,42,6,3
04-23-2020,42,6,3
04-24-2020,42,6,3
04-25-2020,42,11,3
04-26-2020,43,14,3
04-27-2020,43,19,3
04-28-2020,43,21,3
04-29-2020,43,21,3
04-30-2020,43,21,3
05-01-2020,44,27,3
05-02-2020,44,27,3
05-03-2020,44,27,3
05-04-2020,44,27,3
05-05-2020,44,27,3
05-05-2020,44,27,3
05-06-2020,45,27,3
05-07-2020,45,27,3
05-08-2020,47,29,3
05-09-2020,47,29,3
05-10-2020,47,29,3
05-11-2020,47,29,3
05-12-2020,47,29,3
05-12-2020,47,29,3
05-13-2020,48,29,3
05-14-2020,48,29,3
05-14-2020,48,29,3
05-15-2020,50,36,3
05-16-2020,51,36,3
05-17-2020,58,36,3
05-18-2020,58,36,3
05-19-2020,58,36,3
05-19-2020,58,36,3
05-20-2020,58,36,3
05-21-2020,58,36,3
05-22-2020,59,37,4
05-23-2020,70,37,4
05-24-2020,86,41,4
05-25-2020,106,41,4
05-26-2020,121,41,4
05-27-2020,121,43,4
05-28-2020,122,43,4
05-29-2020,122,43,4
05-30-2020,122,43,4
05-31-2020,122,46,5
06-01-2020,123,46,5
06-02-2020,123,50,6
06-03-2020,123,53,6
06-04-2020,124,53,6
06-05-2020,124,53,6
06-06-2020,125,58,6
06-06-2020,125,58,6
06-07-2020,141,58,6
06-08-2020,144,62,6
06-09-2020,146,62,6
06-10-2020,152,68,6
06-11-2020,164,68,6
06-12-2020,164,68,6
06-13-2020,170,71,6
06-14-2020,177,74,6
06-15-2020,177,78,6
06-16-2020,177,78,6
06-17-2020,178,78,7
06-18-2020,187,78,7
06-19-2020,187,78,7
06-20-2020,198,83,7
06-21-2020,204,83,7
06-22-2020,219,83,7
06-23-2020,231,94,7
06-24-2020,231,94,7
06-25-2020,242,96,7
06-26-2020,255,102,8
06-27-2020,256,102,9
06-28-2020,256,102,9
06-29-2020,269,102,9
06-30-2020,279,105,9
07-01-2020,293,110,9
07-02-2020,312,113,9
07-03-2020,328,123,10
07-04-2020,338,123,10
07-05-2020,358,126,13
07-06-2020,372,126,14
07-07-2020,372,126,14
07-08-2020,372,126,14
07-09-2020,372,126,14
07-10-2020,394,126,16
07-11-2020,394,126,16
07-12-2020,394,126,16
07-13-2020,417,136,19
07-14-2020,439,138,21
07-15-2020,458,140,22
07-16-2020,477,140,22
07-17-2020,496,144,25
07-18-2020,496,144,25
07-18-2020,496,144,25
07-18-2020,496,144,25
07-19-2020,496,144,25
07-20-2020,522,154,29
07-21-2020,540,160,31
07-22-2020,561,165,32
07-23-2020,584,174,35
07-24-2020,608,184,35
07-25-2020,627,191,36
07-26-2020,650,200,38
07-27-2020,674,210,40
07-28-2020,694,220,40
07-28-2020,694,220,40
07-29-2020,717,229,40
07-30-2020,738,229,41
07-31-2020,757,237,43
08-01-2020,780,237,43
08-02-2020,809,256,44
08-03-2020,847,268,46
08-04-2020,892,283,46
08-05-2020,944,296,48
08-06-2020,999,311,48
08-07-2020,1060,311,48
08-08-2020,1125,331,50
08-09-2020,1188,346,52
08-10-2020,1255,364,52
08-11-2020,1327,385,53
08-12-2020,1327,385,53
08-13-2020,1432,395,55
08-14-2020,1515,403,58
08-15-2020,1593,408,60
08-16-2020,1677,417,64
08-17-2020,1764,425,68
08-18-2020,1844,425,73
08-19-2020,1927,445,78
08-20-2020,2008,460,82
08-21-2020,2073,475,83
08-22-2020,2143,490,85
08-23-2020,2217,505,89
08-24-2020,2293,519,92
08-25-2020,2365,533,95
08-26-2020,2440,550,98
08-27-2020,2504,569,100
08-28-2020,2563,584,103
08-29-2020,2628,599,106
08-30-2020,2703,614,109
08-31-2020,2765,629,112
09-01-2020,2830,646,116
09-02-2020,2898,661,120
09-03-2020,2973,681,124
09-04-2020,3041,698,127
09-05-2020,3104,715,130
09-06-2020,3171,730,134
09-07-2020,3229,744,137
09-08-2020,3289,760,140
09-09-2020,3351,780,143
09-10-2020,3416,797,147
09-11-2020,3476,812,150
09-12-2020,3506,827,152
09-13-2020,3540,842,155
09-14-2020,3576,858,157
09-15-2020,3614,871,160
09-16-2020,3654,889,163
09-17-2020,3691,903,165
09-18-2020,3731,918,168
