







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,3,0,1
03-21-2020,4,0,1
03-22-2020,5,0,1
03-23-2020,5,0,1
03-24-2020,6,0,1
03-25-2020,6,0,1
03-26-2020,7,0,1
03-27-2020,7,0,1
03-28-2020,7,0,1
03-29-2020,7,0,1
03-30-2020,7,0,1
03-31-2020,16,0,1
04-01-2020,18,0,1
04-02-2020,21,0,1
04-03-2020,21,1,1
04-04-2020,21,1,1
04-05-2020,21,1,1
04-06-2020,24,1,1
04-07-2020,30,1,1
04-08-2020,34,1,1
04-09-2020,44,1,1
04-10-2020,44,1,1
04-11-2020,46,1,1
04-12-2020,49,1,1
04-13-2020,57,1,1
04-14-2020,57,1,1
04-15-2020,80,4,1
04-16-2020,80,4,1
04-17-2020,108,7,1
04-18-2020,108,7,1
04-19-2020,109,7,1
04-20-2020,120,7,1
04-21-2020,156,16,1
04-22-2020,166,24,1
04-23-2020,167,24,2
04-24-2020,172,26,3
04-25-2020,176,30,3
04-26-2020,176,30,3
04-27-2020,211,43,3
04-28-2020,238,53,3
04-29-2020,276,67,3
04-30-2020,276,67,3
05-01-2020,276,67,3
05-02-2020,335,85,5
05-03-2020,335,85,5
05-04-2020,367,93,6
05-05-2020,397,93,6
05-05-2020,397,93,6
05-06-2020,397,93,6
05-07-2020,504,110,8
05-08-2020,620,110,8
05-09-2020,661,110,8
05-10-2020,661,110,8
05-11-2020,802,127,9
05-12-2020,863,137,9
05-12-2020,863,137,9
05-13-2020,1004,152,9
05-14-2020,1104,182,10
05-14-2020,1104,182,10
05-15-2020,1209,219,10
05-16-2020,1320,244,11
05-17-2020,1320,244,11
05-18-2020,1432,301,11
05-19-2020,1502,318,12
05-19-2020,1502,318,12
05-20-2020,1567,365,12
05-21-2020,1567,365,12
05-22-2020,1728,402,12
05-23-2020,1934,459,12
05-24-2020,1934,459,12
05-25-2020,2135,562,14
05-26-2020,2238,593,14
05-27-2020,2319,631,14
05-28-2020,2431,668,14
05-29-2020,2613,709,15
05-30-2020,2655,722,17
05-31-2020,2655,722,17
06-01-2020,2655,722,17
06-02-2020,2803,779,20
06-03-2020,2902,801,20
06-04-2020,2955,818,21
06-05-2020,3101,833,21
06-06-2020,3101,833,21
06-06-2020,3101,833,21
06-07-2020,3101,833,21
06-08-2020,3101,833,21
06-09-2020,3247,938,21
06-10-2020,3375,978,22
06-11-2020,3463,1024,23
06-12-2020,3463,1024,23
06-13-2020,3463,1024,23
06-14-2020,3463,1024,23
06-15-2020,4033,1334,27
06-16-2020,4114,1432,29
06-17-2020,4229,1505,30
06-18-2020,4340,1657,32
06-19-2020,4428,1750,34
06-20-2020,4428,1750,34
06-21-2020,4428,1750,34
06-22-2020,4739,2002,39
06-23-2020,4849,2107,39
06-24-2020,4956,2177,39
06-25-2020,5087,2270,40
06-26-2020,5209,2327,40
06-27-2020,5209,2327,40
06-28-2020,5209,2327,40
06-29-2020,5394,2420,42
06-30-2020,5394,2420,42
07-01-2020,5513,2508,42
07-02-2020,5513,2508,42
07-03-2020,5620,2555,44
07-04-2020,5620,2555,44
07-05-2020,5620,2555,44
07-06-2020,5743,2574,46
07-07-2020,5743,2574,46
07-08-2020,5871,2682,46
07-09-2020,5871,2682,46
07-10-2020,5942,3004,46
07-11-2020,5942,3004,46
07-12-2020,5942,3004,46
07-13-2020,6026,3475,46
07-14-2020,6026,3475,46
07-15-2020,6121,3664,46
07-16-2020,6121,3664,46
07-17-2020,6315,3865,46
07-18-2020,6315,3865,46
07-18-2020,6315,3865,46
07-18-2020,6315,3865,46
07-19-2020,6315,3865,46
07-20-2020,6433,4034,46
07-21-2020,6433,4034,46
07-22-2020,6588,4235,47
07-23-2020,6588,4235,47
07-24-2020,6984,4463,49
07-25-2020,6984,4463,49
07-26-2020,6984,4463,49
07-27-2020,7189,4682,49
07-28-2020,7189,4682,49
07-28-2020,7189,4682,49
07-29-2020,7352,4943,49
07-30-2020,7352,4943,49
07-31-2020,7352,4943,49
08-01-2020,7531,5223,50
08-02-2020,7531,5223,50
08-03-2020,7646,5408,51
08-04-2020,7646,5408,51
08-05-2020,7787,5609,51
08-06-2020,7787,5609,51
08-07-2020,7923,5704,51
08-08-2020,7923,5704,51
08-09-2020,7923,5704,51
08-10-2020,8006,5823,51
08-11-2020,8006,5823,51
08-12-2020,8077,5920,51
08-13-2020,8077,5920,51
08-14-2020,8225,6277,51
08-15-2020,8225,6277,51
08-16-2020,8225,6277,51
08-17-2020,8270,6404,53
08-18-2020,8270,6404,53
08-19-2020,8319,6614,53
08-20-2020,8319,6614,53
08-21-2020,8388,6734,53
08-22-2020,8388,6734,53
08-23-2020,8388,6734,53
08-24-2020,8409,6959,53
08-25-2020,8409,6959,53
08-26-2020,8468,7066,53
08-27-2020,8468,7066,53
08-28-2020,8505,7187,53
08-29-2020,8505,7187,53
