







date,confirmed,cured,dead
03-14-2020,1,0,0
03-15-2020,1,0,0
03-16-2020,1,0,0
03-17-2020,1,0,0
03-18-2020,1,0,0
03-19-2020,1,0,0
03-20-2020,1,0,0
03-21-2020,1,0,0
03-22-2020,4,0,0
03-23-2020,4,0,0
03-24-2020,4,0,0
03-25-2020,4,0,0
03-26-2020,6,0,0
03-27-2020,9,0,0
03-28-2020,9,0,0
03-29-2020,9,0,0
03-30-2020,9,0,0
03-31-2020,9,0,0
04-01-2020,9,0,0
04-02-2020,9,0,0
04-03-2020,9,0,0
04-04-2020,9,0,0
04-05-2020,9,0,0
04-06-2020,10,4,0
04-07-2020,10,4,0
04-08-2020,12,7,0
04-09-2020,12,7,0
04-10-2020,12,7,0
04-11-2020,12,7,0
04-12-2020,14,7,0
04-13-2020,15,7,0
04-14-2020,15,8,0
04-15-2020,15,8,0
04-16-2020,16,8,1
04-17-2020,16,8,1
04-18-2020,22,8,1
04-19-2020,22,8,1
04-20-2020,24,8,1
04-21-2020,31,8,1
04-22-2020,31,8,1
04-23-2020,31,8,1
04-24-2020,36,10,1
04-25-2020,56,10,1
04-26-2020,59,10,1
04-27-2020,65,10,1
04-28-2020,71,10,1
04-29-2020,91,10,1
04-30-2020,100,12,1
05-01-2020,106,12,1
05-02-2020,108,12,1
05-03-2020,112,12,1
05-04-2020,116,12,1
05-05-2020,119,12,1
05-05-2020,119,12,1
05-06-2020,123,12,2
05-07-2020,153,12,2
05-08-2020,159,12,2
05-09-2020,163,14,2
05-10-2020,172,27,2
05-11-2020,175,28,2
05-12-2020,184,28,2
05-12-2020,184,28,2
05-13-2020,187,48,2
05-14-2020,187,51,2
05-14-2020,187,51,2
05-15-2020,190,66,2
05-16-2020,202,72,2
05-17-2020,203,73,2
05-18-2020,205,78,2
05-19-2020,208,87,2
05-19-2020,208,87,2
05-20-2020,217,97,2
05-21-2020,220,112,2
05-22-2020,225,119,2
05-23-2020,238,119,2
05-24-2020,250,156,2
05-25-2020,256,158,2
05-26-2020,261,164,2
05-27-2020,272,168,2
05-28-2020,279,168,2
05-29-2020,279,168,2
05-30-2020,283,168,2
05-31-2020,285,189,2
06-01-2020,293,194,3
06-02-2020,294,198,3
06-03-2020,295,201,3
06-04-2020,300,201,3
06-05-2020,305,221,3
06-06-2020,322,224,3
06-06-2020,322,224,3
06-07-2020,333,225,3
06-08-2020,340,229,3
06-09-2020,371,232,3
06-10-2020,398,236,3
06-11-2020,449,238,3
06-12-2020,472,246,3
06-13-2020,486,247,3
06-14-2020,490,249,4
06-15-2020,506,249,4
06-16-2020,520,259,4
06-17-2020,563,262,4
06-18-2020,586,267,4
06-19-2020,623,276,4
06-20-2020,627,285,5
06-21-2020,635,285,5
06-22-2020,643,291,6
06-23-2020,674,319,7
06-24-2020,690,331,7
06-25-2020,706,347,8
06-26-2020,728,367,8
06-27-2020,745,370,8
06-28-2020,781,372,11
06-29-2020,795,380,11
06-30-2020,812,408,11
07-01-2020,840,418,11
07-02-2020,873,452,11
07-03-2020,909,515,13
07-04-2020,954,535,13
07-05-2020,988,547,13
07-06-2020,1011,564,13
07-07-2020,1056,570,14
07-08-2020,1138,588,14
07-09-2020,1213,609,17
07-10-2020,1257,633,18
07-11-2020,1311,656,18
07-12-2020,1351,668,20
07-13-2020,1389,688,20
07-14-2020,1434,695,20
07-15-2020,1489,724,20
07-16-2020,1552,736,21
07-17-2020,1619,769,21
07-18-2020,1729,788,21
07-18-2020,1729,788,21
07-18-2020,1729,788,21
07-19-2020,1793,822,21
07-20-2020,1826,850,23
07-21-2020,1894,855,24
07-22-2020,1938,876,25
07-23-2020,2021,882,28
07-24-2020,2073,929,28
07-25-2020,2142,940,28
07-26-2020,2207,986,32
07-27-2020,2316,1025,34
07-28-2020,2404,1025,39
07-28-2020,2404,1025,39
07-29-2020,2551,1070,40
07-30-2020,2577,1134,40
07-31-2020,2648,1214,41
08-01-2020,2706,1214,43
08-02-2020,2775,1214,43
08-03-2020,2838,1253,45
08-04-2020,2856,1258,49
08-05-2020,2909,1385,53
08-06-2020,2968,1476,55
08-07-2020,3036,1476,56
08-08-2020,3128,1565,56
08-09-2020,3236,1607,58
08-10-2020,3309,1634,61
08-11-2020,3410,1720,63
08-12-2020,3525,1910,63
08-13-2020,3599,1991,65
08-14-2020,3670,1991,68
08-15-2020,3745,2268,69
08-16-2020,3839,2268,70
08-17-2020,3894,2371,73
08-18-2020,3989,2587,76
08-19-2020,4058,2611,79
08-20-2020,4110,2643,81
08-21-2020,4128,2682,81
08-22-2020,4189,2762,83
08-23-2020,4225,2898,85
08-24-2020,4304,2936,85
08-25-2020,4327,2959,86
08-26-2020,4387,3078,88
08-27-2020,4433,3115,89
08-28-2020,4461,3210,91
08-29-2020,4510,3359,91
08-30-2020,4561,3478,91
08-31-2020,4577,3529,91
09-01-2020,4618,3562,94
09-02-2020,4668,3585,94
09-03-2020,4720,3789,94
09-04-2020,4780,3844,94
09-05-2020,4819,3903,94
