







date,confirmed,cured,dead
03-11-2020,2,0,0
03-12-2020,2,0,0
03-13-2020,2,0,0
03-14-2020,2,0,0
03-15-2020,2,0,0
03-16-2020,2,0,0
03-17-2020,3,0,0
03-18-2020,8,1,0
03-19-2020,8,1,0
03-20-2020,12,1,0
03-21-2020,22,1,0
03-22-2020,30,2,0
03-23-2020,40,2,1
03-24-2020,44,2,1
03-25-2020,51,2,1
03-26-2020,65,2,1
03-27-2020,70,3,1
03-28-2020,89,3,1
03-29-2020,111,3,1
03-30-2020,131,8,2
03-31-2020,135,8,2
04-01-2020,174,9,2
04-02-2020,184,20,2
04-03-2020,210,25,4
04-04-2020,214,25,4
04-05-2020,232,33,5
04-06-2020,238,35,5
04-07-2020,254,44,6
04-08-2020,276,44,6
04-09-2020,288,51,7
04-10-2020,305,58,7
04-11-2020,318,70,10
04-12-2020,323,85,10
04-13-2020,343,91,10
04-14-2020,373,99,11
04-15-2020,407,128,12
04-16-2020,442,152,13
04-17-2020,493,159,17
04-18-2020,542,166,19
04-19-2020,627,170,21
04-20-2020,665,188,22
04-21-2020,665,188,22
04-22-2020,873,197,28
04-23-2020,981,197,31
04-24-2020,1095,208,32
04-25-2020,1182,222,35
04-26-2020,1273,239,40
04-27-2020,1337,255,40
04-28-2020,1532,255,44
04-29-2020,1728,307,51
04-30-2020,1932,319,58
05-01-2020,2170,351,68
05-02-2020,2388,351,85
05-03-2020,2558,400,87
05-04-2020,2802,417,93
05-05-2020,2950,481,98
05-05-2020,2950,481,98
05-06-2020,3145,534,103
05-07-2020,3526,601,107
05-08-2020,3912,679,117
05-09-2020,4151,745,128
05-10-2020,4399,778,143
05-11-2020,4641,902,150
05-12-2020,4787,959,158
05-12-2020,4787,959,158
05-13-2020,4971,1070,164
05-14-2020,5162,1180,167
05-14-2020,5162,1180,167
05-15-2020,5450,1320,171
05-16-2020,5621,1472,176
05-17-2020,5959,1594,182
05-18-2020,6175,1644,191
05-19-2020,6401,1734,192
05-19-2020,6401,1734,192
05-20-2020,6677,1840,200
05-21-2020,7016,1907,211
05-22-2020,7261,2007,221
05-23-2020,7526,2174,221
05-24-2020,7839,2263,226
05-25-2020,8068,2311,233
05-26-2020,8344,2385,249
05-27-2020,8733,2501,254
05-28-2020,8915,2592,259
05-29-2020,9302,2697,261
05-30-2020,9855,2856,273
05-31-2020,10162,3007,287
06-01-2020,10578,3122,299
06-02-2020,10819,3240,314
06-03-2020,11166,3329,315
06-04-2020,11516,3535,323
06-05-2020,11844,3696,333
06-06-2020,12233,3826,342
06-06-2020,12233,3826,342
06-07-2020,12486,3959,354
06-08-2020,12801,4040,361
06-09-2020,13464,4206,365
06-10-2020,13873,4351,382
06-11-2020,14554,4494,387
06-12-2020,15181,4891,399
06-13-2020,15682,5101,407
06-14-2020,16085,5220,420
06-15-2020,16658,5349,424
06-16-2020,17148,5623,455
06-17-2020,17735,5967,469
06-18-2020,18480,6307,475
06-19-2020,19147,6581,487
06-20-2020,19808,6718,506
06-21-2020,20244,6879,518
06-22-2020,20919,7109,525
06-23-2020,21371,7338,533
06-24-2020,22020,7613,542
06-25-2020,22614,7822,549
06-26-2020,23298,8253,554
06-27-2020,24077,8625,558
06-28-2020,24567,9007,565
06-29-2020,25133,9402,573
06-30-2020,25694,9746,590
07-01-2020,26484,10152,603
07-02-2020,27110,10801,616
07-03-2020,27564,11069,628
07-04-2020,28167,11462,634
07-05-2020,28711,11665,645
07-06-2020,29286,11828,654
07-07-2020,29789,12108,669
07-08-2020,30249,12373,684
07-09-2020,30748,12546,689
07-10-2020,31323,12795,709
07-11-2020,31987,13103,724
07-12-2020,32558,13447,740
07-13-2020,33153,13671,744
07-14-2020,33616,13792,754
07-15-2020,34259,13999,760
07-16-2020,34854,14292,769
07-17-2020,35454,14633,772
07-18-2020,36107,14938,778
07-18-2020,36107,14938,778
07-18-2020,36107,14938,778
07-19-2020,36663,15105,789
07-20-2020,37225,15333,801
07-21-2020,37801,15677,805
07-22-2020,38344,15815,813
07-23-2020,38948,16061,833
07-24-2020,39539,16559,845
07-25-2020,39977,16948,856
07-26-2020,40532,17374,858
07-27-2020,41180,18203,860
07-28-2020,41804,18764,868
07-28-2020,41804,18764,868
07-29-2020,42208,19004,873
07-30-2020,42689,19270,878
07-31-2020,43151,19565,879
08-01-2020,43537,20087,883
08-02-2020,43841,20308,888
08-03-2020,44129,20663,896
08-04-2020,44433,31851,910
08-05-2020,44890,32165,927
08-06-2020,45244,32430,930
08-07-2020,45687,32637,936
08-08-2020,46140,33044,942
08-09-2020,46577,33186,945
08-10-2020,46867,33346,950
08-11-2020,47290,33609,956
08-12-2020,47743,33943,956
08-13-2020,48116,34309,966
08-14-2020,48445,35998,973
08-15-2020,48770,36290,974
08-16-2020,49068,36497,975
08-17-2020,49485,36834,977
08-18-2020,49895,37051,981
08-19-2020,50488,37304,985
08-20-2020,50964,37569,992
08-21-2020,51304,37885,996
08-22-2020,51905,38767,997
08-23-2020,52227,38945,1002
08-24-2020,52548,39257,1004
08-25-2020,52800,39964,1007
08-26-2020,53021,40281,1010
08-27-2020,53317,40726,1011
08-28-2020,53477,41017,1011
08-29-2020,53727,41314,1011
08-30-2020,53865,41513,1013
08-31-2020,54008,41638,1013
09-01-2020,54247,42010,1023
09-02-2020,54463,42439,1027
09-03-2020,54588,42627,1048
09-04-2020,54743,42816,1051
09-05-2020,54905,42922,1054
09-06-2020,55005,43013,1057
09-07-2020,55160,43231,1061
09-08-2020,55456,43334,1067
09-09-2020,55632,43610,1070
09-10-2020,55829,43810,1075
09-11-2020,56017,43998,1076
09-12-2020,56177,44088,1078
09-13-2020,56256,44152,1082
09-14-2020,56388,44337,1083
09-15-2020,56478,44430,1088
09-16-2020,56604,47872,1091
09-17-2020,56735,48092,1093
09-18-2020,56956,48305,1094
09-19-2020,57145,48431,1095
09-20-2020,57242,48569,1098
09-21-2020,57437,48674,1100
09-22-2020,57613,48836,1100
09-23-2020,57724,48985,1102
